requirement_id,category,page_or_component,requirement,current_evidence,status,current_or_future,risk_level,owner_input_required,design_decision_required,runtime_verification_required,professional_review_required,publication_blocker,required_action,notes
LPR-001,Company disclosure,Legal and footer,Identify the website operator and provide required company disclosures,No verified company identity is in the Website V2 evidence set,OWNER INFORMATION REQUIRED,current,HIGH,true,false,true,true,true,Confirm legal entity name number jurisdiction registered office and trading name before publication,Do not invent company details
LPR-002,Controller identity,Privacy page,Identify the controller and contact route,Controller identity and contact details are not verified,EVIDENCE INSUFFICIENT,current,HIGH,true,true,true,true,true,Obtain owner decision and complete privacy notice inputs,Company and controller may differ
LPR-003,Privacy notice,Privacy page,State purposes data categories lawful bases recipients transfers retention rights and complaints,No current collection design or complete processing facts are recorded,REQUIREMENT IDENTIFIED - IMPLEMENTATION PENDING,current,HIGH,true,true,true,true,true,Create privacy notice only after the required facts are confirmed,Use the ICO information checklist
LPR-004,Cookie and SAT notice,Site-wide,Describe storage and access technologies and controls,Runtime behaviour is not available,RUNTIME VERIFICATION REQUIRED,current,HIGH,false,true,true,true,true,Inspect cookies local storage scripts requests and consent controls before publication,Do not infer behaviour from plugins or plans
LPR-005,Contact and forms,Contact and Get Involved,Minimise fields provide just-in-time privacy information and define handling,Drafts invite contact but no form fields or processing route are defined,DESIGN DECISION REQUIRED,current,MEDIUM,true,true,true,true,true,Choose a contact mechanism and define only necessary fields,Record FORM DESIGN DECISION REQUIRED
LPR-006,Direct marketing,Newsletter and email,Separate service contact from marketing and capture compliant opt-in where needed,No newsletter implementation or signup language is evidenced,NOT APPLICABLE,current,MEDIUM,false,true,true,true,false,Do not add marketing collection until purpose provider consent unsubscribe and suppression are defined,Contact enquiry is not marketing consent
LPR-007,External links,External platforms,Make third-party destination and privacy implications clear,External links are planned; provider processing is not controlled by New Earth,VERIFIED REQUIREMENT SATISFIED,current,LOW,false,false,false,false,false,Retain clear external labels and fallback links,Recheck destination copy during implementation
LPR-008,Analytics,Site-wide,Determine whether analytics is used and apply an appropriate PECR and UK GDPR design,No analytics or tracker is present in offline previews; live runtime is unverified,RUNTIME VERIFICATION REQUIRED,current,MEDIUM,false,true,true,true,true,Verify scripts requests identifiers purposes consent and objection controls,Do not assume exempt or consent-required status without configuration
LPR-009,Third parties,Site-wide,Inventory processors providers embeds fonts CAPTCHA and payment services,No provider list is verified for Website V2,PROVIDER NOT YET VERIFIED,current,MEDIUM,false,true,true,true,true,Create provider inventory from implementation and runtime evidence,Unknown is not evidence of absence
LPR-010,Commerce,Future product routes,Provide seller product price tax delivery payment contract cancellation refund and support information,Architecture reserves future products but no shop or sale flow exists,FUTURE ACTIVATION GATE,future,HIGH,true,true,true,true,false,Complete commerce activation checklist before selling any product,Current informational site is distinct from commerce
LPR-011,Digital content,Peter Practical Guides,Review digital-content delivery consent cancellation and consumer rights,Programme context identifies a future creator lane; no current sale flow is evidenced,FUTURE ACTIVATION GATE,future,HIGH,true,true,true,true,false,Reopen specialist review before launch,Do not imply products are available
LPR-012,Digital content,Hayley Conscious Living,Review attribution ownership health wording delivery refunds and privacy,Programme context identifies a future lane; no current sale flow or attributed public copy is evidenced,FUTURE ACTIVATION GATE,future,HIGH,true,true,true,true,false,Reopen Hayley and legal review before launch,WA-05D remains not required for current drafts
LPR-013,Payments,Commerce and support,Define payment provider data sharing refunds receipts and security boundaries,No payment system is present or configured,NOT APPLICABLE,future,HIGH,true,true,true,true,false,Do not activate payments without provider and legal review,No payment account was accessed
LPR-014,Community,Community routes,Define moderation UGC safety privacy and third-party boundaries,Current route is an external independent platform link; native UGC is not evidenced,FUTURE ACTIVATION GATE,future,HIGH,true,true,true,true,false,Apply community UGC activation gate before native features,External community is not treated as New Earth operated
LPR-015,AI,GAIA and public systems,Disclose AI interaction data use accuracy limits and professional-advice boundaries,GAIA appears as a bounded future/public explainer concept; no public interaction is evidenced,FUTURE ACTIVATION GATE,future,HIGH,true,true,true,true,false,Perform AI privacy safety and technical review before interaction,Do not present GAIA as publicly available
LPR-016,Health and wellbeing,New Earth Living and BioCalm,Separate philosophy from medical or clinical claims and assess sensitive data,Future concepts are referenced as programme leads; no current product or data flow is evidenced,FUTURE ACTIVATION GATE,future,HIGH,true,true,true,true,false,Use health/device/data review before material public claims,No medical status is asserted
LPR-017,MicroGrow,MicroGrow and AI Lab,Do not imply certification safety commercial release crop guarantees or autonomous control,WA-05C technical controls provide bounded evidence; current core drafts do not make those claims,VERIFIED REQUIREMENT SATISFIED,current,MEDIUM,false,false,false,true,false,Preserve conservative status language and reopen on commercial claims,Further product activation requires separate review
LPR-018,Children and youth,Site-wide,Assess whether a future service is likely to be accessed by children,No child-directed data flow or child service is evidenced,NO CURRENT CHILD-DIRECTED DATA FLOW IDENTIFIED,current,LOW,false,true,true,true,false,Reassess if a child-facing route or data flow is proposed,Children's Code may apply based on likely access
LPR-019,Funding and donations,Support routes,Do not imply charity registration tax deductibility investment rights or guaranteed return,No donation payment or investment flow is evidenced,NOT APPLICABLE,current,MEDIUM,true,true,true,true,false,Keep support wording informational until legal meaning and mechanism are approved,Company is not treated as a charity
LPR-020,Intellectual property,Assets and content,Confirm rights captions alt text fonts logos quotes and AI-generated imagery,Asset rights and alt-text gate remains outstanding,PROFESSIONAL LEGAL REVIEW REQUIRED,current,MEDIUM,false,true,false,true,true,Defer detailed asset clearance to WA-05H,No full rights audit performed here
LPR-021,International operation,Site-wide,Identify international transfers and safeguards where personal data is shared,No processors or transfers are verified,EVIDENCE INSUFFICIENT,current,MEDIUM,true,true,true,true,true,Complete from runtime/provider evidence before collection,Do not invent hosting location or transfer mechanism
LPR-022,12 Pillars,Future pillar production,Label vision principle proposal research prototype development and operation accurately,12 Pillar routes exist but detailed next-batch content is not under review here,FUTURE ACTIVATION GATE,future,HIGH,false,true,false,true,false,Apply the reusable Pillar guardrails before drafting or publishing,Do not invent pillar subjects
