seo_id,route,page_name,content_type,indexability,title_status,proposed_title,meta_description_status,proposed_meta_description,canonical_status,canonical_path,primary_entity,primary_topic,preferred_image_status,structured_data_type,og_type,internal_link_priority,maturity_claim_check,runtime_verification_required,notes
SEO-001,/,Home,Landing,INDEX,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/,New Earth,Gateway,WA-05H PENDING,WebSite and WebPage,website,HIGH,Required,yes,Use token until host verified
SEO-002,/vision/,Vision,Core page,INDEX,PROPOSED,The New Earth Vision | A More Conscious Way Forward,PROPOSED,Explore the New Earth vision for a more conscious and practical approach to human life and shared systems.,TOKEN REQUIRED,/vision/,New Earth vision,Conscious civilisation,WA-05H PENDING,WebPage,website,HIGH,Verified by approved draft,yes,Core metadata from draft
SEO-003,/blueprint/,Blueprint,Core page,INDEX,PROPOSED,The New Earth Blueprint | A Developing Framework,PROPOSED,"Explore the New Earth Blueprint, a developing framework connecting principles, the 12 Pillars and practical areas of life.",TOKEN REQUIRED,/blueprint/,New Earth Blueprint,Framework,WA-05H PENDING,WebPage,website,HIGH,Verified by approved draft,yes,Core metadata from draft
SEO-004,/blueprint/pillars/,The 12 Pillars,Index page,INDEX,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/blueprint/pillars/,New Earth Blueprint,12 Pillars,WA-05H PENDING,CollectionPage,website,HIGH,Future content,yes,Do not invent final metadata
SEO-005,/blueprint/pillars/governance/,Governance,Pillar,NEEDS DECISION,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/blueprint/pillars/governance/,New Earth,Governance,WA-05H PENDING,WebPage,website,MEDIUM,Future content,yes,Production required
SEO-006,/blueprint/pillars/economics/,Economics,Pillar,NEEDS DECISION,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/blueprint/pillars/economics/,New Earth,Economics,WA-05H PENDING,WebPage,website,MEDIUM,Future content,yes,Production required
SEO-007,/blueprint/pillars/education/,Education,Pillar,NEEDS DECISION,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/blueprint/pillars/education/,New Earth,Education,WA-05H PENDING,WebPage,website,MEDIUM,Future content,yes,Production required
SEO-008,/blueprint/pillars/health-and-healing/,Health and Healing,Pillar,NEEDS DECISION,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/blueprint/pillars/health-and-healing/,New Earth,Health and Healing,WA-05H PENDING,WebPage,website,MEDIUM,Health claims gate,yes,Specialist review required
SEO-009,/blueprint/pillars/food-and-agriculture/,Food and Agriculture,Pillar,NEEDS DECISION,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/blueprint/pillars/food-and-agriculture/,New Earth,Food and Agriculture,WA-05H PENDING,WebPage,website,MEDIUM,Claims gate,yes,Production required
SEO-010,/blueprint/pillars/housing-and-habitat/,Housing and Habitat,Pillar,NEEDS DECISION,CONTENT REQUIRED BEFORE FINAL METADATA,,CONTENT REQUIRED BEFORE FINAL METADATA,,TOKEN REQUIRED,/blueprint/pillars/housing-and-habitat/,New Earth,Housing and Habitat,WA-05H PENDING,WebPage,website,MEDIUM,Future content,yes,Production required
