"Direction","Foreground token","Background token","Hex values","Contrast ratio","Normal-text result","Large-text result","Intended use","Recommendation"
"A","ink","surface-base","#1F1F1F / #FCFAF5","15.80:1","PASS","PASS","Body text","Approved for proposal"
"A","brand-primary","surface-base","#2F4F3B / #FCFAF5","8.74:1","PASS","PASS","Headings and links","Approved for proposal"
"A","brand-deep","surface-alt","#243C2D / #F4EFE4","10.41:1","PASS","PASS","Dark text on warm surface","Approved for proposal"
"A","white","brand-deep","#FFFFFF / #243C2D","11.94:1","PASS","PASS","Text on dark action","Approved for proposal"
"A","accent","surface-base","#8A6F32 / #FCFAF5","4.57:1","PASS","PASS","Small accent text only","Use sparingly; no muted gold body text"
"B","ink","surface-base","#17332F / #F7FAF8","12.88:1","PASS","PASS","Body text","Approved for proposal"
"B","brand-primary","surface-base","#14594F / #F7FAF8","7.77:1","PASS","PASS","Headings and links","Approved for proposal"
"B","brand-deep","surface-alt","#0B342F / #E8F0EC","11.71:1","PASS","PASS","Dark surface text","Approved for proposal"
"B","white","brand-primary","#FFFFFF / #14594F","8.17:1","PASS","PASS","Primary action text","Approved for proposal"
"B","accent","surface-base","#3C6F64 / #F7FAF8","5.48:1","PASS","PASS","Evidence accent text","Use with text labels"
"C","ink","surface-base","#202522 / #FCFAF5","14.92:1","PASS","PASS","Body text","Approved for proposal"
"C","brand-primary","surface-base","#234F43 / #FCFAF5","8.87:1","PASS","PASS","Headings and links","Approved for proposal"
"C","brand-deep","surface-alt","#17372F / #EEF2EE","11.44:1","PASS","PASS","Dark surface text","Approved for proposal"
"C","white","brand-primary","#FFFFFF / #234F43","9.25:1","PASS","PASS","Primary action text","Approved for proposal"
"C","systems-accent","surface-base","#3F746B / #FCFAF5","5.13:1","PASS","PASS","Systems/evidence accent","Use with text labels"
"C","accent","surface-base","#8A6F32 / #FCFAF5","4.57:1","PASS","PASS","Small accent only","Do not use for body copy"
