asset_id,asset_path,filename,asset_type,file_format,dimensions,file_size,sha256,intended_route,intended_usage,source_category,source_or_creator,generation_or_capture_status,rights_status,rights_evidence,attribution_requirement,third_party_marks_present,people_or_likeness_review,accessibility_class,alt_text_status,caption_status,extended_text_status,seo_preferred_image_status,responsive_variant_required,public_build_status,review_status,notes,owner_usage_approved
AST-001,ASSETS/01_GLOBAL_SITE/heroes/global_page_hero_template.webp,global_page_hero_template.webp,image,webp,1920x1080,353866,c66648e2cadcd265c7a7f12ecd52d39be24fe5933f355a1a656cc2d533999cee,/,Reusable hero,New Earth curated asset,Not recorded,Unknown,PROVENANCE PARTIAL,None recorded,None recorded,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,Pending,Optional,Not required,Pending,yes,HOLD - RIGHTS REVIEW,REVIEW REQUIRED,Register status is not rights evidence,YES
AST-002,ASSETS/02_HOME/hero/home_hero_new_earth_main.webp,home_hero_new_earth_main.webp,image,webp,1920x1080,562806,a16cac1948a0f02e3f182d7411e848504a424549be605273afb2903d7f864da9,/,Home hero,New Earth curated asset,Not recorded,Unknown,PROVENANCE PARTIAL,None recorded,None recorded,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,Pending,Optional,Not required,Pending,yes,HOLD - RIGHTS REVIEW,REVIEW REQUIRED,No publication rights evidence recorded,YES
AST-003,ASSETS/03_MANIFESTO/hero/manifesto_hero.webp,manifesto_hero.webp,image,webp,1920x1080,316824,06ea9b1f4ebfca290e01f238ea2ef0cbe604e4f0e0fda89baae7b8dac337cd69,/manifesto/,Manifesto hero,New Earth curated asset,Not recorded,Unknown,PROVENANCE PARTIAL,None recorded,None recorded,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,Pending,Optional,Not required,Pending,yes,HOLD - RIGHTS REVIEW,REVIEW REQUIRED,Coordinate owner review,YES
AST-004,ASSETS/04_BLUEPRINT/hero/blueprint_hero.webp,blueprint_hero.webp,image,webp,1920x1080,505880,44c3bc8fb6ffd0e45cb99f8e2d253cd3d4a428d5abec29913c4d6c8fc0d68615,/blueprint/,Blueprint hero,New Earth curated asset,Not recorded,Unknown,PROVENANCE PARTIAL,None recorded,None recorded,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,Pending,Optional,Not required,Pending,yes,HOLD - RIGHTS REVIEW,REVIEW REQUIRED,Text alternative remains required,YES
AST-005,ASSETS/05_SYSTEMS/hero/systems_hero.webp,systems_hero.webp,image,webp,1920x1080,539424,a0f0b845390c5eb4ce274a34a13e5ea72ec2fb238f04b2ae7f6b504014f99d19,/systems/,Systems hero,New Earth curated asset,Not recorded,Unknown,PROVENANCE PARTIAL,None recorded,None recorded,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,Pending,Optional,Not required,Pending,yes,HOLD - RIGHTS REVIEW,REVIEW REQUIRED,Technical claim review where used,YES
AST-006,ASSETS/06_MICROGROW/hero/microgrow_hero.webp,microgrow_hero.webp,image,webp,1920x1080,339832,72eecd869c4b0b2f906d01940d875bd236ff350a7e4297a64f7b4e32a460e9fb,/microgrow/,MicroGrow hero,New Earth curated asset,Not recorded,Unknown,PROVENANCE PARTIAL,None recorded,None recorded,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,Pending,Optional,Not required,Pending,yes,HOLD - RIGHTS REVIEW,REVIEW REQUIRED,Do not imply product readiness,YES
AST-007,ASSETS/06_MICROGROW/product/microgrow_ai_lab_project_card.webp,microgrow_ai_lab_project_card.webp,image,webp,1600x900,233504,b2e258d08d1da2fb2d666939ef5b65d9d25c1f13291d1019ef32cfbe400940b7,/projects/,MicroGrow AI Lab card,New Earth curated asset,Not recorded,Unknown,PROVENANCE PARTIAL,None recorded,None recorded,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,Pending,Optional,Not required,Pending,yes,HOLD - RIGHTS REVIEW,REVIEW REQUIRED,Research-stage language required,YES
AST-008,ASSETS/05_SYSTEMS/projects/field_scanner_project.webp,field_scanner_project.webp,image,webp,1600x900,216984,fd46b0aded20f0992340783eb36c3352462992c5e938a2cdcc3bd653df86cc7d,/projects/,Field Scanner project card,New Earth curated asset,Not recorded,Unknown,PROVENANCE PARTIAL,None recorded,None recorded,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,Pending,Optional,Not required,Pending,yes,HOLD - RIGHTS REVIEW,REVIEW REQUIRED,Handheld discovery device; not landscape scanning,YES
AST-009,ASSETS/10_RESOURCES/hero/new_earth_living_app.webp,new_earth_living_app.webp,image,webp,1600x900,175920,b87796075ac89d5b85e12f2593e2be11f8fc5916d6173b7056a2aac0adb099d3,/resources/,New Earth Living concept,New Earth curated asset,Not recorded,Unknown,PROVENANCE PARTIAL,None recorded,None recorded,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,Pending,Optional,Not required,Pending,yes,HOLD - RIGHTS REVIEW,REVIEW REQUIRED,App direction; no health claim,YES
AST-010,ASSETS/02_HOME/sections/home_introduction_new_earth.webp,home_introduction_new_earth.webp,image,webp,1600x1000,440506,7802994d213b830b8033685a35fb5007a57abbab96b94ea087790a085be1ca20,/,Home introduction,New Earth curated asset,Not recorded,Unknown,PROVENANCE PARTIAL,None recorded,None recorded,UNKNOWN,REVIEW REQUIRED,INFORMATIVE,Pending,Optional,Not required,Pending,yes,HOLD - RIGHTS REVIEW,REVIEW REQUIRED,No text-in-image dependency,YES
