"Current URL","Canonical destination","Redirect type","Reason","Delivery phase","Validation requirement","Status"
"/articles/","/journal/","301","Journal is the authoritative publication destination; no duplicate Articles hub.","WA-02B / controlled implementation","Confirm inbound links, posts-page assignment, and no unique content is lost.","APPROVED PLANNING"
"/cookie-policy-uk/","/legal/cookie-policy/","301","Duplicate cookie-policy surface; one canonical legal route.","WA-02B / legal review","Confirm legal review, inbound links, and canonical metadata.","APPROVED PLANNING"
"/systems/","/systems/","None","Current route is retained and rewritten, not redirected.","WA-03 onward","Confirm content rewrite preserves route and links.","NO REDIRECT"
"/about/","/about/","None","Current route is retained and rewritten.","WA-03 onward","Confirm mission and organisation content remains reachable.","NO REDIRECT"
"/contact/","/contact/","None","Current route is retained and rewritten.","WA-03 onward","Confirm contact and collaboration pathways.","NO REDIRECT"
"/founders-journey/","/founders-journey/","None","Distinct shared founder story; do not merge with About or Team.","WA-02B / WA-07","Confirm shared approval and source ownership.","NO REDIRECT"
"/team/","/team/","None","Distinct people and responsibilities page.","WA-02B / WA-07","Confirm public role data and approvals.","NO REDIRECT"
"/blueprint/new-earth-test/","/blueprint/new-earth-test/","None","Dedicated repository source supports retention; presentation remains under review.","WA-02B","Confirm unique content and route need before implementation.","REVIEW CONTENT"
"/microgrow/blueprint-alignment/","/microgrow/blueprint-alignment/","None","Reusable project method remains contextual beneath MicroGrow.","WA-02B / WA-06","Confirm contextual placement and no duplicate top-level page.","NO REDIRECT"
"/legal/terms/","/legal/terms/","None","Canonical Terms of Use destination.","WA-02B / legal review","Confirm title and legal content review.","NO REDIRECT"
"/legal/cookie-policy/","/legal/cookie-policy/","None","Canonical cookie-policy destination.","WA-02B / legal review","Confirm legal review and consent tooling alignment.","NO REDIRECT"
"/legal/privacy-policy/","/legal/privacy-policy/","None","Canonical privacy destination.","WA-02B / legal review","Confirm legal review.","NO REDIRECT"
"/legal/disclaimer/","/legal/disclaimer/","None","Canonical disclaimer destination.","WA-02B / legal review","Confirm legal review.","NO REDIRECT"
"/new-earth-test/","Review required","TBD","No controlled evidence establishes this as a current live alias.","WA-02B","Check authenticated/live evidence before any redirect decision.","UNCERTAIN - REVIEW"
"/journal/","/journal/","None","Canonical Journal route; not an alias.","WA-02B","Confirm posts-page assignment during implementation planning.","NO REDIRECT"
