"mapping_id","discovery_id","canonical_asset_id","filename","repo_relative_path","sha256","owner_decision","registration_status","notes"
"DTA-001","IMGDISC-0018","AST-018","home_section_blueprint.png","ASSETS/_INBOX/home_section_blueprint.png","21dd2b98d2b042beeaecbc79aa73f6d3cdee83c1b52d11b97e0112915f1a0a16","KEEP","REGISTERED_OWNER_SELECTED_SPECIALIST_GATES_PENDING","Stable ID assigned in discovery order; not public approval."
"DTA-002","IMGDISC-0019","AST-019","home_section_manifesto.png","ASSETS/_INBOX/home_section_manifesto.png","37ecda8e621ddf2a0168b6d7d381d073911b01107ea3a6fa1f03d0453588b1a7","KEEP","REGISTERED_OWNER_SELECTED_SPECIALIST_GATES_PENDING","Stable ID assigned in discovery order; not public approval."
"DTA-003","IMGDISC-0020","AST-020","home_section_microgrow.png","ASSETS/_INBOX/home_section_microgrow.png","1e761f81e19ea6a172e9bb62177b5994b84f1ddec47aa577859c096f1b6fb36d","KEEP","REGISTERED_OWNER_SELECTED_SPECIALIST_GATES_PENDING","Stable ID assigned in discovery order; not public approval."
"DTA-004","IMGDISC-0021","AST-021","home_section_vision.png","ASSETS/_INBOX/home_section_vision.png","95866e814bbcc3f712081df5364ac0d851bb11049926c85f99ae3c190db619a4","KEEP","REGISTERED_OWNER_SELECTED_SPECIALIST_GATES_PENDING","Stable ID assigned in discovery order; not public approval."
"DTA-005","IMGDISC-0022","AST-022","microgrow_app_mockup.png","ASSETS/_INBOX/microgrow_app_mockup.png","57ca166a27889d51e2ebd75362b5096a6d622492fa70f28891b86c90a506f81a","KEEP","REGISTERED_OWNER_SELECTED_SPECIALIST_GATES_PENDING","Stable ID assigned in discovery order; not public approval."
"DTA-006","IMGDISC-0023","AST-023","microgrow_lifestyle_home.png","ASSETS/_INBOX/microgrow_lifestyle_home.png","8efd65a6660f843972847be7fb720be15af76b7fd5497e986d5008dfaf1bd0e7","KEEP","REGISTERED_OWNER_SELECTED_SPECIALIST_GATES_PENDING","Stable ID assigned in discovery order; not public approval."
"DTA-007","IMGDISC-0024","AST-024","microgrow_product_closeup.png","ASSETS/_INBOX/microgrow_product_closeup.png","c011a50cf0b6594b88e8e6021fa154b3fa4af2be43b6819ae2d74dba8ec4797d","KEEP","REGISTERED_OWNER_SELECTED_SPECIALIST_GATES_PENDING","Stable ID assigned in discovery order; not public approval."
"DTA-008","IMGDISC-0025","AST-025","systems_education.png","ASSETS/_INBOX/systems_education.png","7478575eee752f3c8952a9d95f9fa3c9f2f615d51d7f3bd833b9c559ca1d6150","KEEP","REGISTERED_OWNER_SELECTED_SPECIALIST_GATES_PENDING","Stable ID assigned in discovery order; not public approval."
"DTA-009","IMGDISC-0026","AST-026","systems_energy.png","ASSETS/_INBOX/systems_energy.png","c1c012d002fa336c320313ffb03e4a48780e0ab1d9527985ad16bcc214c2da57","KEEP","REGISTERED_OWNER_SELECTED_SPECIALIST_GATES_PENDING","Stable ID assigned in discovery order; not public approval."
"DTA-010","IMGDISC-0027","AST-027","systems_food.png","ASSETS/_INBOX/systems_food.png","fcb4c3b5e39237b9baa59b838311ab6d8a6310842f31ad918a2ab347bd672d55","KEEP","REGISTERED_OWNER_SELECTED_SPECIALIST_GATES_PENDING","Stable ID assigned in discovery order; not public approval."
"DTA-011","IMGDISC-0028","AST-028","systems_governance_community.png","ASSETS/_INBOX/systems_governance_community.png","33ca17963b9fca89d99e88333c3a10d0db05ae0f8086055403097b8d1db9abeb","KEEP","REGISTERED_OWNER_SELECTED_SPECIALIST_GATES_PENDING","Stable ID assigned in discovery order; not public approval."
"DTA-012","IMGDISC-0029","AST-029","systems_health.png","ASSETS/_INBOX/systems_health.png","41659ea84779a92657b4721eefda0ce96b62daf9a152490066320ec7c7a645e5","KEEP","REGISTERED_OWNER_SELECTED_SPECIALIST_GATES_PENDING","Stable ID assigned in discovery order; not public approval."
"DTA-013","IMGDISC-0030","AST-030","systems_housing.png","ASSETS/_INBOX/systems_housing.png","0e127c240f387f7cdd5a1adc2a9ca78dbd57ae5e76d7ad2254fb815b8e0da34f","KEEP","REGISTERED_OWNER_SELECTED_SPECIALIST_GATES_PENDING","Stable ID assigned in discovery order; not public approval."
"DTA-014","IMGDISC-0031","AST-031","systems_water.png","ASSETS/_INBOX/systems_water.png","ccc294725467a4cf9540303ac386bc22eccfabb1f77ac51c83c7cea5ed4ac295","KEEP","REGISTERED_OWNER_SELECTED_SPECIALIST_GATES_PENDING","Stable ID assigned in discovery order; not public approval."
