"import_id","decision_id","source_review_id","source_export_sha256","source_asset_id","canonical_asset_id","filename","repo_relative_path","owner_decision","owner_note","owner_priority","owner_selected_page","owner_selected_role","replacement_direction","rights_followup_required","source_classification","workflow_disposition","provenance_status","rights_status","public_build_status","import_status","notes"
"OADI-001","OD-AST-001","WA05H2-2026-08-27","1CB42C8B29A5C08B8B839A69D51924BAC6C4E7109B6DF436398170ED6F25197E","AST-001","AST-001","global_page_hero_template.webp","ASSETS/01_GLOBAL_SITE/heroes/global_page_hero_template.webp","KEEP","NONE PROVIDED","UNSET","EXISTING_GOVERNED_MAPPING","OWNER SELECTED / USAGE TO BE DETERMINED","NONE PROVIDED","True","CURATED_WEBSITE_ASSET","OWNER_SELECTED_REQUIRES_SPECIALIST_GATES","PROVENANCE PARTIAL","PROVENANCE PARTIAL","BLOCKED_RIGHTS","IMPORTED_WITH_LEGACY_OUTCOME_FIELD","Raw owner outcome preserved; mapped to owner_decision for governance."
"OADI-002","OD-AST-002","WA05H2-2026-08-27","1CB42C8B29A5C08B8B839A69D51924BAC6C4E7109B6DF436398170ED6F25197E","AST-002","AST-002","home_hero_new_earth_main.webp","ASSETS/02_HOME/hero/home_hero_new_earth_main.webp","KEEP","NONE PROVIDED","UNSET","EXISTING_GOVERNED_MAPPING","OWNER SELECTED / USAGE TO BE DETERMINED","NONE PROVIDED","True","CURATED_WEBSITE_ASSET","OWNER_SELECTED_REQUIRES_SPECIALIST_GATES","PROVENANCE PARTIAL","PROVENANCE PARTIAL","BLOCKED_RIGHTS","IMPORTED_WITH_LEGACY_OUTCOME_FIELD","Raw owner outcome preserved; mapped to owner_decision for governance."
"OADI-003","OD-AST-010","WA05H2-2026-08-27","1CB42C8B29A5C08B8B839A69D51924BAC6C4E7109B6DF436398170ED6F25197E","AST-010","AST-010","home_introduction_new_earth.webp","ASSETS/02_HOME/sections/home_introduction_new_earth.webp","KEEP","NONE PROVIDED","UNSET","EXISTING_GOVERNED_MAPPING","OWNER SELECTED / USAGE TO BE DETERMINED","NONE PROVIDED","True","CURATED_WEBSITE_ASSET","OWNER_SELECTED_REQUIRES_SPECIALIST_GATES","PROVENANCE PARTIAL","PROVENANCE PARTIAL","BLOCKED_RIGHTS","IMPORTED_WITH_LEGACY_OUTCOME_FIELD","Raw owner outcome preserved; mapped to owner_decision for governance."
"OADI-004","OD-AST-003","WA05H2-2026-08-27","1CB42C8B29A5C08B8B839A69D51924BAC6C4E7109B6DF436398170ED6F25197E","AST-003","AST-003","manifesto_hero.webp","ASSETS/03_MANIFESTO/hero/manifesto_hero.webp","KEEP","NONE PROVIDED","UNSET","EXISTING_GOVERNED_MAPPING","OWNER SELECTED / USAGE TO BE DETERMINED","NONE PROVIDED","True","CURATED_WEBSITE_ASSET","OWNER_SELECTED_REQUIRES_SPECIALIST_GATES","PROVENANCE PARTIAL","PROVENANCE PARTIAL","BLOCKED_RIGHTS","IMPORTED_WITH_LEGACY_OUTCOME_FIELD","Raw owner outcome preserved; mapped to owner_decision for governance."
"OADI-005","OD-AST-004","WA05H2-2026-08-27","1CB42C8B29A5C08B8B839A69D51924BAC6C4E7109B6DF436398170ED6F25197E","AST-004","AST-004","blueprint_hero.webp","ASSETS/04_BLUEPRINT/hero/blueprint_hero.webp","KEEP","NONE PROVIDED","UNSET","EXISTING_GOVERNED_MAPPING","OWNER SELECTED / USAGE TO BE DETERMINED","NONE PROVIDED","True","CURATED_WEBSITE_ASSET","OWNER_SELECTED_REQUIRES_SPECIALIST_GATES","PROVENANCE PARTIAL","PROVENANCE PARTIAL","BLOCKED_RIGHTS","IMPORTED_WITH_LEGACY_OUTCOME_FIELD","Raw owner outcome preserved; mapped to owner_decision for governance."
"OADI-006","OD-AST-005","WA05H2-2026-08-27","1CB42C8B29A5C08B8B839A69D51924BAC6C4E7109B6DF436398170ED6F25197E","AST-005","AST-005","systems_hero.webp","ASSETS/05_SYSTEMS/hero/systems_hero.webp","KEEP","NONE PROVIDED","UNSET","EXISTING_GOVERNED_MAPPING","OWNER SELECTED / USAGE TO BE DETERMINED","NONE PROVIDED","True","CURATED_WEBSITE_ASSET","OWNER_SELECTED_REQUIRES_SPECIALIST_GATES","PROVENANCE PARTIAL","PROVENANCE PARTIAL","BLOCKED_RIGHTS","IMPORTED_WITH_LEGACY_OUTCOME_FIELD","Raw owner outcome preserved; mapped to owner_decision for governance."
"OADI-007","OD-AST-008","WA05H2-2026-08-27","1CB42C8B29A5C08B8B839A69D51924BAC6C4E7109B6DF436398170ED6F25197E","AST-008","AST-008","field_scanner_project.webp","ASSETS/05_SYSTEMS/projects/field_scanner_project.webp","KEEP","NONE PROVIDED","UNSET","EXISTING_GOVERNED_MAPPING","OWNER SELECTED / USAGE TO BE DETERMINED","NONE PROVIDED","True","CURATED_WEBSITE_ASSET","OWNER_SELECTED_REQUIRES_SPECIALIST_GATES","PROVENANCE PARTIAL","PROVENANCE PARTIAL","BLOCKED_RIGHTS","IMPORTED_WITH_LEGACY_OUTCOME_FIELD","Raw owner outcome preserved; mapped to owner_decision for governance."
"OADI-008","OD-AST-006","WA05H2-2026-08-27","1CB42C8B29A5C08B8B839A69D51924BAC6C4E7109B6DF436398170ED6F25197E","AST-006","AST-006","microgrow_hero.webp","ASSETS/06_MICROGROW/hero/microgrow_hero.webp","KEEP","NONE PROVIDED","UNSET","EXISTING_GOVERNED_MAPPING","OWNER SELECTED / USAGE TO BE DETERMINED","NONE PROVIDED","True","CURATED_WEBSITE_ASSET","OWNER_SELECTED_REQUIRES_SPECIALIST_GATES","PROVENANCE PARTIAL","PROVENANCE PARTIAL","BLOCKED_RIGHTS","IMPORTED_WITH_LEGACY_OUTCOME_FIELD","Raw owner outcome preserved; mapped to owner_decision for governance."
"OADI-009","OD-AST-007","WA05H2-2026-08-27","1CB42C8B29A5C08B8B839A69D51924BAC6C4E7109B6DF436398170ED6F25197E","AST-007","AST-007","microgrow_ai_lab_project_card.webp","ASSETS/06_MICROGROW/product/microgrow_ai_lab_project_card.webp","KEEP","NONE PROVIDED","UNSET","EXISTING_GOVERNED_MAPPING","OWNER SELECTED / USAGE TO BE DETERMINED","NONE PROVIDED","True","CURATED_WEBSITE_ASSET","OWNER_SELECTED_REQUIRES_SPECIALIST_GATES","PROVENANCE PARTIAL","PROVENANCE PARTIAL","BLOCKED_RIGHTS","IMPORTED_WITH_LEGACY_OUTCOME_FIELD","Raw owner outcome preserved; mapped to owner_decision for governance."
"OADI-010","OD-AST-014","WA05H2-2026-08-27","1CB42C8B29A5C08B8B839A69D51924BAC6C4E7109B6DF436398170ED6F25197E","AST-014","AST-014","about_hero.webp","ASSETS/07_ABOUT/hero/about_hero.webp","KEEP","NONE PROVIDED","UNSET","EXISTING_GOVERNED_MAPPING","OWNER SELECTED / USAGE TO BE DETERMINED","NONE PROVIDED","True","CURATED_WEBSITE_ASSET","OWNER_SELECTED_REQUIRES_SPECIALIST_GATES","PROVENANCE PARTIAL","PROVENANCE PARTIAL","BLOCKED_RIGHTS","IMPORTED_WITH_LEGACY_OUTCOME_FIELD","Raw owner outcome preserved; mapped to owner_decision for governance."
