accessibility_id,wcag_principle,wcag_reference,level,surface_or_component,requirement,current_evidence,status,content_action,implementation_action,runtime_test_required,future_activation_only,risk,notes
A11Y-001,Perceivable,1.1.1,A,Informative images,Provide concise purpose-focused alt text,Core image briefs require descriptive alt text and no unsupported proof,SATISFIED IN SOURCE,Retain truthful subject descriptions,Use meaningful alt or empty alt when decorative,yes,no,MEDIUM,Rendered implementation still needs testing
A11Y-002,Perceivable,1.1.1,A,Decorative images,Mark purely decorative images so assistive technology can ignore them,Image briefs distinguish decorative use,IMPLEMENTATION REQUIREMENT,Identify decorative status per placement,Use empty alt and avoid redundant labels,yes,no,MEDIUM,Do not omit informative alternatives
A11Y-003,Perceivable,1.1.1,A,Complex diagrams,Evidence the essential relationship in adjacent text, Ecosystem brief requires a complete text alternative,CONTENT ACTION REQUIRED,Keep text equivalent beside every complex diagram,Use semantic text alternative and readable labels,yes,no,HIGH,Alt text must not be an architecture dump
A11Y-004,Perceivable,1.2.1-1.2.5,A/AA,Video and audio,Provide captions transcripts and controls where media is introduced,No media is loaded in offline previews,IMPLEMENTATION REQUIREMENT,Add transcript and caption requirements to editorial workflow,Use accessible native controls and alternatives,yes,yes,HIGH,Future media only
A11Y-005,Perceivable,1.3.1,A,Headings and structure,Use semantic headings lists quotes and tables,All six drafts have one H1 and logical sections,SATISFIED IN SOURCE,Preserve page-specific hierarchy,Map markdown/content fields to semantic HTML,yes,no,MEDIUM,Source check is not rendered conformance
A11Y-006,Perceivable,1.3.2,A,Reading order,Ensure DOM order communicates meaning without visual positioning,Content sections are ordered in drafts,IMPLEMENTATION REQUIREMENT,Keep meaningful sequence,Do not rely on CSS order for essential meaning,yes,no,HIGH,Test with screen reader
A11Y-007,Perceivable,1.4.1,A,Colour and status,Do not communicate essential meaning by colour alone,Status language is textual in planning records,IMPLEMENTATION REQUIREMENT,Use words and text labels,Add non-colour state indicators,yes,no,HIGH,Applies to project and maturity states
A11Y-008,Perceivable,1.4.3,AA,Text contrast,Meet WCAG AA contrast for normal and large text,Final rendering and colours are not runtime-verified,RUNTIME VERIFICATION REQUIRED,Do not add low-contrast text,Verify computed rendered contrast,yes,no,HIGH,No source-only PASS claim
A11Y-009,Perceivable,1.4.11,AA,Non-text contrast,Provide sufficient contrast for meaningful controls and graphics,Final rendering is not verified,RUNTIME VERIFICATION REQUIRED,Ensure graphics have text equivalents,Verify component and focus contrast,yes,no,HIGH,Use final theme values
A11Y-010,Perceivable,1.4.10,AA,Responsive content,Support reflow without unnecessary two-dimensional scrolling,Offline preview has responsive rules but no complete runtime test,RUNTIME VERIFICATION REQUIRED,Keep content concise and flexible,Test 200% resize and 400% reflow,yes,no,HIGH,Include sticky-header obstruction checks
A11Y-011,Operable,2.1.1,A,Keyboard operation,All interactive controls work by keyboard,Offline source contains no interactive runtime proof,IMPLEMENTATION REQUIREMENT,Use descriptive links and buttons,Test Tab Shift+Tab Enter Space Escape and arrows where relevant,yes,no,HIGH,No keyboard trap
A11Y-012,Operable,2.4.1,A,Skip navigation,Provide visible-on-focus Skip to main content,Not yet implemented in WordPress,IMPLEMENTATION REQUIREMENT,No content change required,Add first focusable skip link and main target,yes,no,HIGH,Verify focus lands correctly
A11Y-013,Operable,2.4.3,A,Focus order,Keep logical focus order,Source structure is documented; rendered order unknown,RUNTIME VERIFICATION REQUIRED,Preserve content sequence,Test keyboard traversal against visual order,yes,no,HIGH,No focus loss
A11Y-014,Operable,2.4.7,A,Focus visibility,Make focus visible and not hidden behind sticky UI,Design system calls for keyboard focus but runtime unknown,IMPLEMENTATION REQUIREMENT,Retain clear link purpose,Implement :focus-visible and scroll margin,yes,no,HIGH,Verify contrast and obstruction
A11Y-015,Operable,2.5.8,AA,Touch targets,Meet minimum target size or spacing; prefer 44px comfortable controls,44px is a New Earth usability preference and not a WCAG threshold,IMPLEMENTATION REQUIREMENT,Use explicit labels,Size and space controls for touch,yes,no,MEDIUM,WCAG minimum must not be misrepresented
A11Y-016,Operable,2.5.7,AA,Dragging,Provide non-drag alternatives,No dragging is planned,NOT APPLICABLE,Do not introduce drag-only interaction,Avoid drag-only functionality,yes,yes,LOW,Reassess future apps
A11Y-017,Understandable,3.1.1,A,Page language,Declare page language and language changes,Repository content is British English but HTML runtime is unverified,RUNTIME VERIFICATION REQUIRED,Maintain British English,Set lang and mark language changes,yes,no,MEDIUM,Verify template output
A11Y-018,Understandable,3.1.3,A,Unusual terms,Explain unfamiliar New Earth terminology,Planning standards require plain explanations,CONTENT ACTION REQUIRED,Explain acronyms at first meaningful use,Provide contextual definitions or glossary links,yes,no,MEDIUM,Do not oversimplify technical meaning
A11Y-019,Understandable,3.2.3,A,Navigation,Keep navigation consistent,WA-04 specifies seven header items and five footer groups,IMPLEMENTATION REQUIREMENT,Preserve approved labels,Use consistent global shell and mobile behaviour,yes,no,HIGH,Verify across routes
A11Y-020,Understandable,3.3.2,A,Future forms,Provide labels instructions required state and privacy explanation,Native forms are deferred, FUTURE ACTIVATION,Use minimal fields,Implement explicit labels and instructions before activation,yes,yes,HIGH,No form activation now
A11Y-021,Robust,4.1.2,A,Controls,Use native semantic controls with accessible names,Offline previews are not WordPress runtime,IMPLEMENTATION REQUIREMENT,Use descriptive link text,Prefer native HTML and test accessible names,yes,no,HIGH,Do not rely on ARIA unnecessarily
A11Y-022,Robust,4.1.3,AA,Status messages,Expose important dynamic status without focus theft,No dynamic V2 service is activated,FUTURE ACTIVATION,Define status patterns for future services,Use live regions only when appropriate,yes,yes,HIGH,Applies to forms AI and community
