"tile_id","location","tile_type","media_or_placeholder","written_body","status","action","contract_result","notes"
"P-001","Hero","Page hero","Image","HTML content overlay; documented page-hero exception","N/A","Explore the Blueprint","EXEMPT - PAGE HERO","Full-width hero is not a card tile"
"P-002","What is New Earth?","Full-width story","Image","HTML story content","N/A","Read the Vision; Read the Manifesto","EXEMPT - FULL-WIDTH STORY","Approved non-card composition"
"P-003","Explore the pathway","Full-width pathway visual","Image","Pathway links below image","N/A","Pathway links","EXEMPT - FULL-WIDTH SECTION","Supporting image is not a card tile"
"P-004","Featured Projects / MicroGrow AI Lab","Image-content card","microgrow_ai_lab_project_card.webp","Research status, title, truthful explanation","Research","Explore project","PASS","Media is top one-third; body is bottom two-thirds; conceptual asset adopted"
"P-005","Featured Projects / Field Scanner","Image-content card","field_scanner_project.webp","Concept status, title, truthful explanation","Concept","Explore project","PASS","Handheld MicroGrow-node inspection wording"
"P-006","Featured Projects / New Earth Living","Image-content card","new_earth_living_app.webp","In development status, title, truthful explanation","In development","Explore project","PASS","Conscious Living app-lane wording"
"P-007","Journal","Image-content card","journal_featured_home.webp","Editorial planned status, title, truthful explanation","Editorial planned","Open Journal","PASS","No specific unpublished article claimed"
"P-008","Resources","Image-content card","resources_featured_home.webp","Learning planned status, title, truthful explanation","Learning planned","Explore resources","PASS","No existing illustrated guide claimed"
"P-009","FAQ & Glossary","Image-content card","faq_glossary_featured.webp","Reference status, title, truthful explanation","Reference","Open FAQ & Glossary","PASS","Illustration is not presented as an operational system"
"P-010","Get Involved","Full-width image-led story","community_hero.webp","Participation pathway cards","N/A","Participation links","EXEMPT - FULL-WIDTH STORY","Approved image-led story composition"
"P-011","Ecosystem","Semantic relationship diagram","CSS and HTML nodes","Text equivalent list","N/A","Explore the Ecosystem","EXEMPT - SEMANTIC DIAGRAM","No image-only meaning"
"P-012","The 12 Pillars","Pillar colour-and-symbol tiles","CSS and text","Heading, number, description, link","N/A","Pillar links","EXEMPT - PILLAR SYSTEM","Colour and symbols remain secondary"
"P-013","Get Involved / Community & Collaboration","Image-content planning card","Controlled planning placeholder","Approval-pending status, title, reservation explanation","External community - approval pending","Review participation routes","PASS - PLANNING RESERVATION","No external link or partnership claim is active"
