purpose_id,route,visitor_question,page_purpose,primary_subject,secondary_subjects,expected_user_need,related_internal_routes,future_content_opportunity,evidence_or_context,notes
SCP-001,/vision/,What is New Earth?,Orient visitors to the vision,New Earth vision,Conscious civilisation,Understand the direction,/manifesto/;/blueprint/;/ecosystem/,Original vision material,Approved Vision draft,No commercial intent
SCP-002,/manifesto/,What does New Earth believe?,Explain principles,Manifesto,Values and questions,Understand principles,/vision/;/blueprint/;/journal/,Original manifesto material,Approved Manifesto draft,No keyword stuffing
SCP-003,/blueprint/,What is the New Earth Blueprint?,Explain the framework,Blueprint,12 Pillars and practice,Find a structure for exploration,/blueprint/pillars/;/ecosystem/,Pillar content,Approved Blueprint draft,Developing framework
SCP-004,/ecosystem/,How do the New Earth parts connect?,Explain relationships,Ecosystem,Projects systems participation,Orient across the programme,/blueprint/;/projects/;/journal/,System explainers,Approved Ecosystem draft,Technical maturity applies
SCP-005,/get-involved/,How can someone get involved?,Offer safe participation routes,Participation,Learning contact collaboration,Choose a suitable next step,/contact/;/journal/;/collaborate/,Future participation routes,Approved Get Involved draft,External links labelled
SCP-006,/about/,What is New Earth for?,Explain purpose and stewardship,Purpose,Principles developing work,Gain context before engagement,/vision/;/manifesto/;/get-involved/,Company details when verified,Approved About draft,No invented history
SCP-007,/blueprint/pillars/,What are the 12 Pillars?,Provide the pillar index,12 Pillars,Blueprint relationships,Choose an area for deeper learning,/blueprint/;/ecosystem/,One authoritative page per Pillar,WA-02 sitemap,Content not yet produced
SCP-008,/journal/,Where can I follow New Earth learning?,Provide editorial hub,Journal,Projects and research,Read dated useful material,/projects/;/research-development/,Original articles,WA-02 architecture,Do not fabricate history
SCP-009,/projects/,What work is developing?,Orient to projects,Projects,Statuses and evidence,Understand maturity,/ecosystem/;/journal/;/microgrow/,Project evidence pages,WA-02 architecture,No product sales intent
SCP-010,/legal/privacy-policy/,How does the site handle information?,Provide privacy information,Privacy,Controller and processing,Make an informed choice,/legal/;/contact/,Verified notice after inputs,WA-05E,Final facts required
