page_id,page_title,canonical_url,template_family,content_owner,current_source_state,required_evidence,voice_profile,primary_purpose,primary_audience,content_status,priority,blocking_dependency,notes
V20-001,Home,/,Homepage,New Earth,Approved homepage source,Approved homepage copy and asset records,Institutional orientation,Help visitors begin,New visitors,READY TO DRAFT,P1,None,Do not redesign WA-04 homepage
V20-002,Vision,/vision/,Orientation page,New Earth,WA-05B.1 owner-approved core draft,Approved vision claims,Institutional orientation,Explain direction,New visitors,OWNER APPROVED - SPECIALIST REVIEW PENDING,P1,Specialist review,Peter approved 2026-08-27; distinguish vision from fact
V20-003,Blueprint,/blueprint/,Hub,New Earth,WA-05B.1 owner-approved core draft,Approved framework language,Institutional orientation,Introduce framework,New visitors,OWNER APPROVED - SPECIALIST REVIEW PENDING,P1,Specialist review,Peter approved 2026-08-27
V20-004,The 12 Pillars,/blueprint/pillars/,Collection,New Earth,Blueprint and pillar index,Approved names order and definitions,Institutional orientation,Explore framework areas,New visitors,READY TO DRAFT,P1,Source consolidation,Hub links all pillar pages
V20-005,Governance,/blueprint/pillars/governance/,Pillar,New Earth,Tracked pillar source,Definition and evidence review,Institutional explanatory,Explain one pillar,Interested visitors,SOURCE CONSOLIDATION,P1,Source review,No outcome claims
V20-006,Economics,/blueprint/pillars/economics/,Pillar,New Earth,Tracked pillar source,Definition and evidence review,Institutional explanatory,Explain one pillar,Interested visitors,SOURCE CONSOLIDATION,P1,Source review,
V20-007,Education,/blueprint/pillars/education/,Pillar,New Earth,Tracked pillar source,Definition and evidence review,Institutional explanatory,Explain one pillar,Interested visitors,SOURCE CONSOLIDATION,P1,Source review,
V20-008,Health and Healing,/blueprint/pillars/health-and-healing/,Pillar,New Earth,Tracked pillar source,Definition and safety review,Institutional explanatory,Explain one pillar,Interested visitors,SOURCE CONSOLIDATION,P1,Health claim review,Escalate health claims
V20-009,Food and Agriculture,/blueprint/pillars/food-and-agriculture/,Pillar,New Earth,Tracked pillar source,Definition and evidence review,Institutional explanatory,Explain one pillar,Interested visitors,SOURCE CONSOLIDATION,P1,Source review,
V20-010,Housing and Habitat,/blueprint/pillars/housing-and-habitat/,Pillar,New Earth,Tracked pillar source,Definition and evidence review,Institutional explanatory,Explain one pillar,Interested visitors,SOURCE CONSOLIDATION,P1,Source review,
V20-011,Energy and Technology,/blueprint/pillars/energy-and-technology/,Pillar,New Earth,Tracked pillar source,Definition and technical review,Institutional explanatory,Explain one pillar,Interested visitors,SOURCE CONSOLIDATION,P1,Technical evidence,
V20-012,Justice and Conflict Transformation,/blueprint/pillars/justice-and-conflict-transformation/,Pillar,New Earth,Tracked pillar source,Definition and legal or safety review,Institutional explanatory,Explain one pillar,Interested visitors,SOURCE CONSOLIDATION,P1,Source review,
V20-013,Media and Information,/blueprint/pillars/media-and-information/,Pillar,New Earth,Tracked pillar source,Definition and evidence review,Institutional explanatory,Explain one pillar,Interested visitors,SOURCE CONSOLIDATION,P1,Source review,
V20-014,Environment and Relationship with Nature,/blueprint/pillars/environment-and-relationship-with-nature/,Pillar,New Earth,Tracked pillar source,Definition and evidence review,Institutional explanatory,Explain one pillar,Interested visitors,SOURCE CONSOLIDATION,P1,Source review,
V20-015,Culture Spirituality and Human Development,/blueprint/pillars/culture-spirituality-human-development/,Pillar,New Earth,Tracked pillar source,Definition and belief boundary review,Institutional explanatory,Explain one pillar,Interested visitors,SOURCE CONSOLIDATION,P1,Source review,Respect spiritual language
V20-016,Family Childhood and Eldership,/blueprint/pillars/family-childhood-eldership/,Pillar,New Earth,Tracked pillar source,Definition and safeguarding review,Institutional explanatory,Explain one pillar,Interested visitors,SOURCE CONSOLIDATION,P1,Source review,
V20-017,Inner Blueprint,/blueprint/inner-blueprint/,Blueprint page,New Earth,Tracked blueprint source,Approved doctrine wording,Institutional orientation,Explain inner framework,New visitors,READY TO DRAFT,P1,None,
V20-018,Transition Path,/blueprint/transition-path/,Blueprint page,New Earth,Tracked blueprint source,Approved future-direction wording,Institutional orientation,Explain transition framing,New visitors,READY TO DRAFT,P1,None,
V20-019,Manifesto,/manifesto/,Doctrine page,New Earth,WA-05B.1 owner-approved core draft,Manifesto principles and approved doctrine wording,Institutional orientation,Explain central principles,New visitors,OWNER APPROVED - SPECIALIST REVIEW PENDING,P1,Specialist review,Peter approved 2026-08-27; core-page scope reconciled to the WA-02 canonical route; not a primary-header item
V20-020,Ecosystem,/ecosystem/,Hub,New Earth,WA-05C technical review,Public relationship evidence,Institutional explanatory,Show how areas connect,New visitors,OWNER APPROVED - SPECIALIST REVIEW PENDING,P1,Accessibility; SEO; legal/privacy specialist review,Peter approved 2026-08-27; technical review PASS WITH QUALIFICATIONS; use Ecosystem as public label
V20-020,Advanced Technologies,/technology/,Information page,New Earth Advanced Technologies Ltd,Partial tracked source,Verified company and technology facts,Institutional explanatory,Explain public technology context,Interested visitors,REQUIRES TECHNICAL VERIFICATION,P2,Company and technical evidence,No private system details
V20-021,Command Centre,/ecosystem/command-centre/,System explainer,New Earth,WA-02 boundary only,Approved public information and system boundary,Institutional explanatory,Explain public purpose,Interested visitors,REQUIRES TECHNICAL VERIFICATION,P2,Technical evidence,Private application excluded
V20-022,Projects,/projects/,Collection,New Earth,WA-02 capability and WA-04 project records,Owner status evidence and audience per project,Institutional explanatory,Index developing work,Interested visitors,SOURCE CONSOLIDATION,P1,Project evidence,No readiness implication
V20-023,MicroGrow,/microgrow/,Project,MicroGrow,Tracked MicroGrow source set,Owner and current status review,Practical project voice,Explain current project direction,Interested visitors,READY TO DRAFT,P1,Owner review,Use honest status
V20-024,Journal,/journal/,Collection,New Earth,Journal strategy and templates,Editorial ownership and publication controls,Institutional editorial,Provide public writing,Readers,READY TO DRAFT,P1,None,Canonical publication hub
V20-025,About,/about/,About page,New Earth,WA-05B.1 owner-approved core draft,Mission and organisation facts,Institutional orientation,Explain who New Earth is,New visitors,OWNER APPROVED - SPECIALIST REVIEW PENDING,P1,Company/legal specialist review,Peter approved 2026-08-27; founder-attribution review PASS / NOT REQUIRED for current draft
V20-026,Founders Journey,/founders-journey/,Shared founder page,Peter and Hayley / New Earth,Tracked founder story,Joint approval and biographical facts,Founder voice with context,Share documented history,Interested visitors,REQUIRES FOUNDER INPUT,P2,Peter and Hayley approval,Distinct from Team
V20-027,Team,/team/,People page,New Earth,Limited tracked source,Approved public roles and names,Institutional explanatory,Explain responsibilities,Interested visitors,REQUIRES FOUNDER INPUT,P2,Role approval,No private details
V20-028,Get Involved,/get-involved/,Hub,New Earth,WA-05B.1 owner-approved core draft,Confirmed pathways and availability,Welcoming participation,Offer safe next steps,Interested visitors,OWNER APPROVED - SPECIALIST REVIEW PENDING,P1,Specialist review,Peter approved 2026-08-27; no portal implied
V20-029,Collaborate,/collaborate/,Participation page,New Earth,Contact and IA sources,Legal and pathway review,Welcoming participation,Invite defined collaboration,Potential collaborators,REQUIRES LEGAL REVIEW,P2,Legal review,No unsupported partnerships
V20-030,Contact,/contact/,Contact page,New Earth,Tracked contact source,Approved contact method and privacy wording,Clear practical,Provide contact route,All visitors,SOURCE CONSOLIDATION,P1,Technical contact verification,
V20-031,Resources,/resources/,Hub,New Earth,WA-02 and journal sources,Content inventory and editorial owner,Clear practical,Offer learning material,Readers,READY TO DRAFT,P1,None,Separate from Journal
