source_id,source_path_or_system,source_type,scope,authority_level,permitted_public_use,restrictions,owner,last_reviewed,status,notes
SRC-001,AGENTS.md,Tracked repository control,Repository workflow and safety,CONTROL,Process guidance only,Not public page source,New Earth,2026-08-27,ACTIVE,Read before work
SRC-002,TASK.md,Tracked repository control,Asset and task priorities,PRIMARY,Authorise only stated task scope,No invented content,New Earth,2026-08-27,ACTIVE,Primary source per AGENTS
SRC-003,01_STRATEGY/WA-01,Approved strategy,Vision scope and content decisions,APPROVED,Authorise approved direction and decisions,Not final page copy,New Earth,2026-08-27,ACTIVE,WA-01 complete
SRC-004,01_STRATEGY/WA-02,Approved architecture,Routes navigation and boundaries,APPROVED,Authorise route and structural references,No publishing or live changes,New Earth,2026-08-27,ACTIVE,WA-02 complete
SRC-005,01_STRATEGY/WA-03,Approved design system,Voice-adjacent component and accessibility constraints,APPROVED,Authorise presentation and accessibility patterns,Not evidence for project claims,New Earth,2026-08-27,ACTIVE,WA-03 complete
SRC-006,01_STRATEGY/WA-04,Approved homepage controls,Homepage copy status and assets,APPROVED,Authorise approved homepage baseline,Do not expand beyond recorded evidence,New Earth,2026-08-27,ACTIVE,WA-04 complete
SRC-007,03_CONTENT,Tracked page source,Existing page masters and content inputs,SUPPORTING,Source for drafting after authority review,Drafts require evidence classification,New Earth,2026-08-27,ACTIVE,Consolidate before publication
SRC-008,00_BLUEPRINT,Tracked blueprint source,Blueprint doctrine and pillar framing,SUPPORTING,Source for framework explanation,Do not present vision as achieved fact,New Earth,2026-08-27,ACTIVE,Use with claims standard
SRC-009,ASSETS/ASSET_REGISTER.csv,Tracked asset register,Asset status and placement,CONTROL,Confirm asset identity and status,No factual project evidence,New Earth,2026-08-27,ACTIVE,Asset provenance remains separate
SRC-010,09_LOGS/DECISIONS.md,Tracked decision log,Recorded decisions and rationale,SUPPORTING,Use only decisions marked applicable,Do not treat open questions as facts,New Earth,2026-08-27,ACTIVE,Review dates required
SRC-011,09_LOGS/CHANGELOG.md,Tracked change log,Historical repository changes,SUPPORTING,Use as documented history of repository work,Not public product history without review,New Earth,2026-08-27,ACTIVE,Historical context only
SRC-012,Owner-supplied external evidence,External evidence dependency,Partner or project facts,DEPENDENCY,Use only with dated permission and scope,Do not preserve private messages or personal data,Relevant owner,2026-08-27,REQUIRES REVIEW,Record sanitized evidence only
SRC-013,Platform Core repository,External repository dependency,Technical claims about Platform Core,DEPENDENCY,No public use until independently reviewed,Do not access or infer in WA-05A,Technical owner,2026-08-27,UNVERIFIED,Placeholder only
SRC-014,NEOS repository,External repository dependency,Technical claims about NEOS,DEPENDENCY,No public use until independently reviewed,Do not access or infer in WA-05A,Technical owner,2026-08-27,UNVERIFIED,Placeholder only
SRC-015,GAIA repository,External repository dependency,AI claims and safety boundaries,DEPENDENCY,No public use until independently reviewed,Do not access or infer in WA-05A,Technical owner,2026-08-27,UNVERIFIED,Placeholder only
SRC-016,Command Dashboard system,Protected system dependency,Private operational details,RESTRICTED,No public use,Do not access expose or embed,Technical owner,2026-08-27,RESTRICTED,Separate protected application
SRC-017,Live WordPress and IONOS,Live system dependency,Current deployment facts,DEPENDENCY,Requires separately authorised evidence capture,Not accessed during WA-05A,Website owner,2026-08-27,UNVERIFIED,No live changes authorised
