sat_id,technology_or_feature,status,location,purpose,provider,stores_or_accesses_device_information,personal_data_possible,exception_candidate,consent_status,information_requirement,objection_requirement,multi_purpose_risk,runtime_verification_required,evidence,required_action,notes
SAT-001,Server logs,unknown,Hosting runtime,Security operations and delivery,PROVIDER NOT YET VERIFIED,yes,possible,B. STRICTLY NECESSARY EXCEPTION CANDIDATE,UNKNOWN,Log purpose categories retention and provider,Where applicable,Possible,yes,No runtime evidence,Verify runtime and privacy notice,Do not claim absence
SAT-002,Session or security cookies,unknown,WordPress runtime,Session and security,PROVIDER NOT YET VERIFIED,yes,possible,B. STRICTLY NECESSARY EXCEPTION CANDIDATE,UNKNOWN,Name purpose lifetime and scope,Where applicable,Possible,yes,No runtime evidence,Verify runtime,Classify actual cookies not generic plugin names
SAT-003,Consent state,planned,Consent manager if enabled,Remember choices,PROVIDER NOT YET VERIFIED,yes,possible,B. STRICTLY NECESSARY EXCEPTION CANDIDATE,UNKNOWN,Explain storage and controls,Simple/free objection where applicable,Possible,yes,No runtime evidence,Verify implementation before use,No banner configuration performed
SAT-004,Analytics,unknown,Client runtime if present,Statistical measurement,PROVIDER NOT YET VERIFIED,yes,possible,C. STATISTICAL PURPOSES EXCEPTION CANDIDATE,UNKNOWN,Explain purpose and technology,Simple/free objection where applicable,High,yes,No runtime evidence,Determine actual purpose and consent path,Do not assume exemption
SAT-005,Marketing pixels,unknown,Client runtime if present,Advertising or campaign measurement,PROVIDER NOT YET VERIFIED,yes,possible,F. CONSENT LIKELY REQUIRED,UNKNOWN,Identify provider purpose and data,Objection and withdrawal controls,High,yes,No runtime evidence,Do not add without approval and consent design,No tracker in offline preview
SAT-006,Embedded video,planned,Page components if later added,Display third-party media,PROVIDER NOT YET VERIFIED,yes,possible,F. CONSENT LIKELY REQUIRED,Not implemented,Explain provider and request,Objection/withdrawal as applicable,High,yes,Click-to-load standard only,Use consent-controlled fallback,No embed currently loaded
SAT-007,External fonts,unknown,Theme/runtime,Typography,PROVIDER NOT YET VERIFIED,yes,possible,D. APPEARANCE / FUNCTIONALITY EXCEPTION CANDIDATE,UNKNOWN,Identify request and provider,Simple/free objection where applicable,Possible,yes,No runtime evidence,Verify local versus external loading,Do not assume font source
SAT-008,CAPTCHA,unknown,Contact form if later added,Abuse prevention,PROVIDER NOT YET VERIFIED,yes,possible,F. CONSENT LIKELY REQUIRED,Not implemented,Identify provider and data,As applicable,High,yes,No form evidence,Choose only after form design,Do not add by default
SAT-009,Local storage or session storage,unknown,Client runtime,Preferences or application state,PROVIDER NOT YET VERIFIED,yes,possible,G. INSUFFICIENT EVIDENCE,UNKNOWN,Identify keys purposes and duration,As applicable,Possible,yes,No runtime evidence,Inspect browser storage before publication,No app runtime is in scope
SAT-010,Third-party widgets or feeds,unknown,Page components,External participation or content,PROVIDER NOT YET VERIFIED,yes,possible,F. CONSENT LIKELY REQUIRED,Not implemented,Identify provider and fallback,As applicable,High,yes,Integration standard prohibits automatic feeds,Do not load automatic feeds,Use labelled links or consented embeds
