Current Title,Current URL,WordPress Status,Parent,Repository Source,V2 Destination,Decision,Redirect Requirement,Content Owner,Priority,Evidence,Notes
Home,/,publish,None,03_CONTENT/01_HOME/HOME_MASTER.md,/,KEEP,None,New Earth,P1,WA-00B WXR and public baseline,Core entry point; review V2 orientation.
Manifesto,/manifesto/,publish,None,03_CONTENT/02_MANIFESTO/MANIFESTO_MASTER.md,/manifesto/,KEEP,None,New Earth,P1,WA-00B WXR and public baseline,Canonical doctrine introduction.
Blueprint,/blueprint/,publish,None,03_CONTENT/03_BLUEPRINT/BLUEPRINT_MASTER.md,/blueprint/,KEEP,None,New Earth,P1,WA-00B WXR and public baseline,Central doctrine hub.
Systems,/systems/,publish,None,03_CONTENT/05_SYSTEMS/SYSTEMS_OVERVIEW.md,/systems/,REWRITE,None,New Earth,P1,WA-00B WXR; systems source exists,Needs ecosystem and implementation framing without private interfaces.
MicroGrow,/microgrow/,publish,None,03_CONTENT/06_MICROGROW/MICROGROW_MASTER.md,/microgrow/,KEEP,None,MicroGrow,P1,WA-00B WXR; MicroGrow source set,First practical implementation node.
Journal,/journal/,publish,None,03_CONTENT/08_JOURNAL/JOURNAL_STRATEGY.md,/journal/,KEEP,None,New Earth,P1,WA-00B WXR; journal strategy,Canonical public knowledge route.
About,/about/,publish,None,03_CONTENT/07_ABOUT/ABOUT_MASTER.md,/about/,REWRITE,None,New Earth,P1,WA-00B WXR; About source set,Needs clearer relationship to people and ecosystem.
Contact - New Earth,/contact/,publish,None,03_CONTENT/09_CONTACT/CONTACT_MASTER.md,/contact/,REWRITE,None,New Earth,P1,WA-00B WXR; Contact source set,Needs pathways for collaboration and project enquiries.
Legal,/legal/,publish,None,03_CONTENT/10_LEGAL/,/legal/,KEEP,None,New Earth,P1,WA-00B WXR; legal child pages,Retain hub pending legal review.
Privacy Policy,/legal/privacy-policy/,publish,Legal,03_CONTENT/10_LEGAL/PRIVACY_POLICY.md,/legal/privacy-policy/,KEEP,None,New Earth,P1,WA-00B WXR and local source,Legal review required before publishing changes.
Terms of Use,/legal/terms/,publish,Legal,03_CONTENT/10_LEGAL/TERMS.md,/legal/terms/,KEEP,None,New Earth,P1,WA-00B WXR and local source,Keep distinct from the live legacy Terms and Conditions alias until reviewed.
Cookie Policy,/legal/cookie-policy/,publish,Legal,03_CONTENT/10_LEGAL/COOKIE_POLICY.md,/legal/cookie-policy/,KEEP,None,New Earth,P1,WA-00B WXR and local source,Canonical legal cookie route candidate.
Disclaimer,/legal/disclaimer/,publish,Legal,03_CONTENT/10_LEGAL/DISCLAIMER.md,/legal/disclaimer/,KEEP,None,New Earth,P1,WA-00B WXR and local source,Legal review required.
The 12 Pillars,/blueprint/pillars/,publish,Blueprint,03_CONTENT/03_BLUEPRINT/BLUEPRINT_PILLARS_INDEX.md,/blueprint/pillars/,KEEP,None,New Earth,P1,WA-00B WXR; 12 pillar sources,Canonical Blueprint support page.
Inner Blueprint,/blueprint/inner-blueprint/,publish,Blueprint,03_CONTENT/03_BLUEPRINT/BLUEPRINT_INNER_FOUNDATION.md,/blueprint/inner-blueprint/,KEEP,None,New Earth,P1,WA-00B WXR; Blueprint source,Canonical support page.
Transition Path,/blueprint/transition-path/,publish,Blueprint,03_CONTENT/03_BLUEPRINT/BLUEPRINT_TRANSITION.md,/blueprint/transition-path/,KEEP,None,New Earth,P1,WA-00B WXR; Blueprint source,Canonical support page.
New Earth Test,/blueprint/new-earth-test/,publish,Blueprint,03_CONTENT/03_BLUEPRINT/BLUEPRINT_SYSTEM_TEST.md,/blueprint/new-earth-test/,KEEP,None,New Earth,P1,WA-00B WXR; Blueprint source,Canonical support page.
Blueprint Alignment,/microgrow/blueprint-alignment/,publish,MicroGrow,03_CONTENT/06_MICROGROW/MICROGROW_BLUEPRINT_ALIGNMENT.md,/microgrow/blueprint-alignment/,KEEP,None,MicroGrow,P2,WA-00B WXR; MicroGrow source,Retain as product-to-Blueprint bridge.
Articles,/articles/,publish,None,03_CONTENT/08_JOURNAL/ARTICLE_TEMPLATES.md,/journal/,INVESTIGATE,Investigate redirect or merge before changing route,New Earth,P1,WA-00B WXR; 0 published posts; public baseline,Live Articles page overlaps Journal but its content role is not yet proven.
Team,/team/,publish,None,None,/team/,INVESTIGATE,None,New Earth,P2,WA-00B WXR; V2 scope includes Team,No local page source or ownership file identified.
Founder's Journey,/founders-journey/,publish,None,03_CONTENT/07_ABOUT/FOUNDER_STORY.md,/about/founders-journey/,INVESTIGATE,Investigate redirect or retain before changing route,Peter / New Earth,P2,WA-00B WXR; Founder Story source; V2 scope,Needs decision on About relationship and author voice.
Cookie Policy (UK),/cookie-policy-uk/,publish,None,None,/legal/cookie-policy/,INVESTIGATE,Investigate redirect only after legal review,New Earth,P1,WA-00B WXR; duplicate legal surface,Do not choose between pages until legal content and inbound links are compared.
