"queue_id","asset_id","filename","owner_decision","provenance_state","rights_state","issue_type","evidence_needed","can_be_resolved_from_repo","owner_input_required","third_party_input_required","replacement_recommended","blocks_build_preparation","blocks_publication","recommended_next_action","notes"
"ARRQ-001","AST-001","global_page_hero_template.webp","KEEP","PROVENANCE_PARTIAL","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
"ARRQ-002","AST-002","home_hero_new_earth_main.webp","KEEP","PROVENANCE_PARTIAL","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
"ARRQ-003","AST-010","home_introduction_new_earth.webp","KEEP","PROVENANCE_PARTIAL","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
"ARRQ-004","AST-003","manifesto_hero.webp","KEEP","PROVENANCE_PARTIAL","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
"ARRQ-005","AST-004","blueprint_hero.webp","KEEP","PROVENANCE_PARTIAL","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
"ARRQ-006","AST-005","systems_hero.webp","KEEP","PROVENANCE_PARTIAL","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
"ARRQ-007","AST-008","field_scanner_project.webp","KEEP","PROVENANCE_PARTIAL","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
"ARRQ-008","AST-006","microgrow_hero.webp","KEEP","PROVENANCE_PARTIAL","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
"ARRQ-009","AST-007","microgrow_ai_lab_project_card.webp","KEEP","PROVENANCE_PARTIAL","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
"ARRQ-010","AST-014","about_hero.webp","KEEP","PROVENANCE_PARTIAL","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
"ARRQ-011","AST-015","contact_banner.webp","KEEP","PROVENANCE_PARTIAL","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
"ARRQ-012","AST-011","journal_featured_home.webp","KEEP","PROVENANCE_PARTIAL","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
"ARRQ-013","AST-013","faq_glossary_featured.webp","KEEP","PROVENANCE_PARTIAL","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
"ARRQ-014","AST-012","resources_featured_home.webp","KEEP","PROVENANCE_PARTIAL","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
"ARRQ-015","AST-009","new_earth_living_app.webp","KEEP","PROVENANCE_PARTIAL","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
"ARRQ-016","AST-016","community_hero.webp","KEEP","PROVENANCE_PARTIAL","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
"ARRQ-017","AST-017","new_earth_builders_logo.webp","KEEP","PROVENANCE_PARTIAL","PUBLIC USE APPROVED - THIRD-PARTY BRAND PERMISSION CONFIRMED","THIRD_PARTY_BRAND","Original transparent source optional; permission basis recorded","PARTIAL","NO","NO","NO","NO","NO","Use existing governed logo in approved New Earth Builders context only","Peter confirms New Earth Builders authorised public display on new-earth.uk; no New Earth ownership or unrestricted licence claimed."
"ARRQ-018","AST-018","home_section_blueprint.png","KEEP","PROVENANCE UNKNOWN","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
"ARRQ-019","AST-019","home_section_manifesto.png","KEEP","PROVENANCE UNKNOWN","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
"ARRQ-020","AST-020","home_section_microgrow.png","KEEP","PROVENANCE UNKNOWN","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
"ARRQ-021","AST-021","home_section_vision.png","KEEP","PROVENANCE UNKNOWN","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
"ARRQ-022","AST-022","microgrow_app_mockup.png","KEEP","PROVENANCE UNKNOWN","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
"ARRQ-023","AST-023","microgrow_lifestyle_home.png","KEEP","PROVENANCE UNKNOWN","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
"ARRQ-024","AST-024","microgrow_product_closeup.png","KEEP","PROVENANCE UNKNOWN","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
"ARRQ-025","AST-025","systems_education.png","KEEP","PROVENANCE UNKNOWN","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
"ARRQ-026","AST-026","systems_energy.png","KEEP","PROVENANCE UNKNOWN","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
"ARRQ-027","AST-027","systems_food.png","KEEP","PROVENANCE UNKNOWN","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
"ARRQ-028","AST-028","systems_governance_community.png","KEEP","PROVENANCE UNKNOWN","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
"ARRQ-029","AST-029","systems_health.png","KEEP","PROVENANCE UNKNOWN","RIGHTS EVIDENCE MISSING","MISSING_RIGHTS_PROVENANCE","Creator/source and licence or permission evidence","PARTIAL","NO","NO","POSSIBLY","NO","YES","Target evidence or controlled replacement","Owner visual KEEP is not rights approval."
