"Asset ID","Page/template","Asset purpose","Required format","Required dimensions/aspect ratio","Existing candidate","Rights status","Production status","Owner","Delivery phase","Notes"
"AR-001","Global Header","New Earth logo","SVG/PNG","Vector or transparent mark","06_THEME and brand sources","Confirm licence/ownership","PROPOSED","New Earth","WA-03B","Do not use unapproved concept board as live logo."
"AR-002","Home","Primary hero","WebP","1920x1080, 16:9","ASSETS/02_HOME/hero/home_hero_new_earth_main.webp","Production candidate; confirm approval","DONE candidate","New Earth","WA-04","Check focal point and overlay contrast."
"AR-003","Global pages","Reusable page hero","WebP","1920x1080, 16:9","ASSETS/01_GLOBAL_SITE/heroes/global_page_hero_template.webp","Production candidate; confirm approval","DONE candidate","New Earth","WA-03B",""
"AR-004","Manifesto","Manifesto hero","WebP","1920x1080, 16:9","ASSETS/03_MANIFESTO/hero/manifesto_hero.webp","Production candidate; confirm approval","DONE candidate","New Earth","WA-03B",""
"AR-005","Blueprint","Blueprint hero","WebP","1920x1080, 16:9","ASSETS/04_BLUEPRINT/hero/blueprint_hero.webp","Production candidate; confirm approval","DONE candidate","New Earth","WA-05",""
"AR-006","Systems/Ecosystem","Systems hero","WebP","1920x1080, 16:9","ASSETS/05_SYSTEMS/hero/systems_hero.webp","Production candidate; confirm approval","DONE candidate","New Earth","WA-03B","Use only after route replacement review."
"AR-007","MicroGrow","Product hero","WebP","1920x1080, 16:9","ASSETS/06_MICROGROW/hero/microgrow_hero.webp","Production candidate; confirm approval","DONE candidate","MicroGrow","WA-06",""
"AR-008","About","About hero","WebP","1920x1080, 16:9","ASSETS/07_ABOUT/hero/about_hero.webp","Production candidate; confirm approval","DONE candidate","New Earth","WA-03B",""
"AR-009","Contact","Contact banner","WebP","1600x900, 16:9","ASSETS/08_CONTACT/banners/contact_banner.webp","Production candidate; confirm approval","DONE candidate","New Earth","WA-03B",""
"AR-010","Community","Community hero","WebP","1920x1080, 16:9","ASSETS/11_COMMUNITY/hero/community_hero.webp","Production candidate; confirm approval","DONE candidate","Community owner","V2.x","Reserved until safeguarding review."
"AR-011","Vision","Vision hero","WebP","1920x1080, 16:9","New production candidate required","Not yet confirmed","TODO","New Earth","WA-04","Reuse global hero only if approved."
"AR-012","Research","Research diagram or hero","WebP/PNG","16:9 or documented diagram","New production candidate required","Not yet confirmed","TODO","Research owner","WA-03B","No unpublished IP or private infrastructure."
"AR-013","Ecosystem","Public ecosystem map","SVG/PNG/WebP","Responsive diagram","ASSETS/04_BLUEPRINT/diagrams/blueprint_ecosystem_map.webp","Candidate; confirm rights and content","TODO","New Earth","WA-03B","Public relationships only."
"AR-014","Command Centre","Approved public visual","PNG/WebP","16:9 or diagram","New production candidate required","No candidate","TODO","New Earth","WA-03B","Never use private application screenshot."
"AR-015","Pillars","Pillar overview","PNG/SVG","Square or responsive diagram","ASSETS/04_BLUEPRINT/diagrams/blueprint_12_pillars_overview.png","Reference/production status to confirm","TODO","New Earth","WA-05","Display numbers; readable alt text."
"AR-016","Journal","Article/social image","WebP/PNG","Documented per item","ASSETS/09_BLOG/hero/blog_hero.webp if approved","Rights per item required","TODO","Editorial owner","WA-08","No generic duplicate Articles identity."
"AR-017","Legal","Accessibility/support icons","SVG/PNG","Small UI assets","New production candidate required","Not yet confirmed","TODO","New Earth","WA-03B","Decorative only unless described."
"AR-018","Global footer","Footer background","WebP","1920x500","ASSETS/01_GLOBAL_SITE/footer/footer_background_new_earth.webp","Not yet produced/approved","TODO","New Earth","WA-03B","Do not reduce text contrast."
"AR-019","Social metadata","Open Graph images","PNG","1200x630","ASSETS/12_SOCIAL_OG/global/og_homepage.png etc.","Rights and approval required","TODO","New Earth","WA-03B","One canonical image per destination."
"AR-020","404","Recovery illustration","WebP/PNG","Responsive 16:9","ASSETS/01_GLOBAL_SITE/utility/global_under_construction_light.webp","Not yet produced/approved","TODO","New Earth","WA-03B","Avoid implying unavailable production features."
