"Record ID","Page/capability","Canonical URL","Parent","Content type","Delivery horizon","Current state","WA-01 decision","Navigation placement","Template family","Access level","Truth/status-label requirement","Owner","Notes"
"V20-001","Home","/","None","Page","V2.0 FOUNDATION","LIVE","KEEP","Logo; primary header","Gateway","Public","LIVE","New Earth","Home initially fulfils Start Here and previews Vision."
"V20-002","Vision","/vision/","Home","Page","V2.0 FOUNDATION","NEW","CREATE","Primary header","Doctrine explainer","Public","PLANNED","New Earth","Dedicated page approved in WA-01."
"V20-003","Blueprint","/blueprint/","None","Hub","V2.0 FOUNDATION","LIVE","KEEP","Primary header","Hub","Public","LIVE","New Earth","Canonical doctrine hub."
"V20-004","The 12 Pillars","/blueprint/pillars/","Blueprint","Collection","V2.0 FOUNDATION","LIVE","KEEP","Blueprint child","Pillar index","Public","LIVE","New Earth","All twelve pillar destinations are listed below."
"V20-005","Governance","/blueprint/pillars/governance/","The 12 Pillars","Pillar","V2.0 FOUNDATION","SOURCE","KEEP","Pillar navigation","Pillar","Public","LIVE","New Earth","Dedicated repository source."
"V20-006","Economics","/blueprint/pillars/economics/","The 12 Pillars","Pillar","V2.0 FOUNDATION","SOURCE","KEEP","Pillar navigation","Pillar","Public","LIVE","New Earth","Dedicated repository source."
"V20-007","Education","/blueprint/pillars/education/","The 12 Pillars","Pillar","V2.0 FOUNDATION","SOURCE","KEEP","Pillar navigation","Pillar","Public","LIVE","New Earth","Dedicated repository source."
"V20-008","Health and Healing","/blueprint/pillars/health-and-healing/","The 12 Pillars","Pillar","V2.0 FOUNDATION","SOURCE","KEEP","Pillar navigation","Pillar","Public","LIVE","New Earth","Dedicated repository source."
"V20-009","Food and Agriculture","/blueprint/pillars/food-and-agriculture/","The 12 Pillars","Pillar","V2.0 FOUNDATION","SOURCE","KEEP","Pillar navigation","Pillar","Public","LIVE","New Earth","Dedicated repository source."
"V20-010","Housing and Habitat","/blueprint/pillars/housing-and-habitat/","The 12 Pillars","Pillar","V2.0 FOUNDATION","SOURCE","KEEP","Pillar navigation","Pillar","Public","LIVE","New Earth","Dedicated repository source."
"V20-011","Energy and Technology","/blueprint/pillars/energy-and-technology/","The 12 Pillars","Pillar","V2.0 FOUNDATION","SOURCE","KEEP","Pillar navigation","Pillar","Public","LIVE","New Earth","Dedicated repository source."
"V20-012","Justice and Conflict Transformation","/blueprint/pillars/justice-and-conflict-transformation/","The 12 Pillars","Pillar","V2.0 FOUNDATION","SOURCE","KEEP","Pillar navigation","Pillar","Public","LIVE","New Earth","Dedicated repository source."
"V20-013","Media and Information","/blueprint/pillars/media-and-information/","The 12 Pillars","Pillar","V2.0 FOUNDATION","SOURCE","KEEP","Pillar navigation","Pillar","Public","LIVE","New Earth","Dedicated repository source."
"V20-014","Environment and Relationship with Nature","/blueprint/pillars/environment-and-relationship-with-nature/","The 12 Pillars","Pillar","V2.0 FOUNDATION","SOURCE","KEEP","Pillar navigation","Pillar","Public","LIVE","New Earth","Dedicated repository source."
"V20-015","Culture, Spirituality and Human Development","/blueprint/pillars/culture-spirituality-human-development/","The 12 Pillars","Pillar","V2.0 FOUNDATION","SOURCE","KEEP","Pillar navigation","Pillar","Public","LIVE","New Earth","Dedicated repository source."
"V20-016","Family, Childhood and Eldership","/blueprint/pillars/family-childhood-eldership/","The 12 Pillars","Pillar","V2.0 FOUNDATION","SOURCE","KEEP","Pillar navigation","Pillar","Public","LIVE","New Earth","Dedicated repository source."
"V20-017","Inner Blueprint","/blueprint/inner-blueprint/","Blueprint","Page","V2.0 FOUNDATION","LIVE","KEEP","Blueprint child","Doctrine support","Public","LIVE","New Earth","Retained."
"V20-018","Transition Path","/blueprint/transition-path/","Blueprint","Page","V2.0 FOUNDATION","LIVE","KEEP","Blueprint child","Doctrine support","Public","LIVE","New Earth","Retained."
"V20-019","New Earth Test","/blueprint/new-earth-test/","Blueprint","Page","V2.0 FOUNDATION","LIVE","KEEP","Blueprint child","Doctrine support","Public","LIVE","New Earth","Retained on repository evidence; WA-02B reviews presentation."
"V20-020","Ecosystem","/ecosystem/","None","Hub","V2.0 FOUNDATION","NEW","CREATE","Primary header","Hub","Public","PLANNED","New Earth","Public map and gateway."
"V20-021","Advanced Technologies","/technology/","Ecosystem","Page","V2.0 FOUNDATION","NEW","CREATE","Ecosystem child","Company explainer","Public","PLANNED","New Earth Advanced Technologies Ltd","Verified public facts only."
"V20-022","Platform Core","/ecosystem/platform-core/","Ecosystem","System explainer","EXTERNAL/INTERNAL SYSTEM","RESERVED","INVESTIGATE","Ecosystem child","System explainer","Public","IN DEVELOPMENT","Platform owner","Public explanation; private system remains separate."
"V20-023","NEOS","/ecosystem/neos/","Ecosystem","System explainer","EXTERNAL/INTERNAL SYSTEM","RESERVED","INVESTIGATE","Ecosystem child","System explainer","Public","IN DEVELOPMENT","Platform owner","Public explanation; private controls excluded."
"V20-024","GAIA","/ecosystem/gaia/","Ecosystem","System explainer","EXTERNAL/INTERNAL SYSTEM","RESERVED","INVESTIGATE","Ecosystem child","System explainer","Public","RESEARCH","GAIA owner","No administration or runtime details."
"V20-025","Command Centre","/ecosystem/command-centre/","Ecosystem","System explainer","V2.0 FOUNDATION","NEW","CREATE","Ecosystem child","System explainer","Public","IN DEVELOPMENT","New Earth","Public information only; application remains separate."
"V20-026","Projects","/projects/","None","Collection","V2.0 FOUNDATION","NEW","CREATE","Primary header","Project directory","Public","PLANNED","New Earth","Every entry requires owner, evidence, audience, and status."
"V20-027","MicroGrow","/microgrow/","Projects","Project","V2.0 FOUNDATION","LIVE","KEEP","Projects child","Project","Public","LIVE","MicroGrow","Existing live destination."
"V20-028","Systems","/systems/","None","Hub","V2.0 FOUNDATION","LIVE","REWRITE","Primary header","Hub","Public","LIVE","New Earth","Rewrite as a public ecosystem overview."
"V20-029","Journal","/journal/","None","Collection","V2.0 FOUNDATION","LIVE","KEEP","Primary header","Journal index","Public","LIVE","New Earth","Canonical publication destination."
"V20-030","About","/about/","None","Page","V2.0 FOUNDATION","LIVE","REWRITE","Primary header","About","Public","LIVE","New Earth","Mission, organisation, and operating principles."
"V20-031","Founder's Journey","/founders-journey/","About","Page","V2.0 FOUNDATION","LIVE","KEEP","About child","Founder story","Public","LIVE","Peter and Hayley / New Earth","Distinct shared story."
"V20-032","Team","/team/","About","Page","V2.0 FOUNDATION","LIVE","KEEP","About child","People","Public","LIVE","New Earth","Responsibilities without private details."
"V20-033","Get Involved","/get-involved/","None","Hub","V2.0 FOUNDATION","NEW","CREATE","Primary header","Participation hub","Public","PLANNED","New Earth","Orientation hub, not a commitment to activate forms."
