"Component ID","Component name","Purpose","Required variants","Required states","Used by template families","Responsive behaviour","Accessibility requirements","WordPress mapping","V2.0 or V2.x","Status","Notes"
"C-001","Header","Orient and provide primary navigation","Desktop, compact, mobile","Default, current, open, focus","Gateway, hub, all pages","Collapse to labelled menu","Skip link, keyboard disclosure, focus return, landmarks","Header template part and Navigation block","V2.0","PROPOSED","Concise seven-item header"
"C-002","Mobile menu","Expose navigation on narrow screens","Drawer, inline","Closed, open, focus","All templates","No hover dependency","Dialog semantics, Escape, focus trap/return","Navigation block pattern","V2.0","PROPOSED","Home through logo"
"C-003","Footer","Provide grouped exploration and trust links","Full, compact","Default, focus","All templates","Stack groups","Landmark and link names","Footer template part","V2.0","PROPOSED","Explore, Participate, Learn, Legal, Trust"
"C-004","Breadcrumbs","Show hierarchy and return route","Standard, compact","Default, focus","Child pages","Wrap safely","List semantics and current page","Pattern with dynamic links","V2.0","PROPOSED","Not sole navigation"
"C-005","Hero","Orient page and primary action","Image, plain, split","Default, focus","Gateway, doctrine, hub, project","Crop/reflow focal point","Heading, contrast, alt treatment","Synced pattern","V2.0","PROPOSED","No final copy"
"C-006","Section introduction","Set purpose for a section","Text, with media","Default","All templates","Single column first","Heading hierarchy","Synced pattern","V2.0","PROPOSED",""
"C-007","Buttons and text links","Provide clear actions","Primary, secondary, inline","Hover, focus, disabled","All templates","Wrap and retain target size","Names, contrast, 44px target","Core blocks and pattern","V2.0","PROPOSED","Inline links remain distinguishable"
"C-008","Status/truth badge","Communicate evidence-based status","LIVE, VALIDATED, IN DEVELOPMENT, PROTOTYPE, RESEARCH, PLANNED, FUTURE","Default, focus","Project, system, research","Wrap label","Text plus colour/icon; not colour alone","Pattern with text field","V2.0","PROPOSED",""
"C-009","Project card","Summarize project safely","Featured, compact, directory","Default, hover, focus, unavailable","Project directory, project","Stack on mobile","Heading, status, owner, action","Query loop pattern","V2.0","PROPOSED",""
"C-010","Technology/system card","Explain public system","System, boundary","Default, focus","Ecosystem","Stack on mobile","Purpose and boundary text","Query loop/pattern","V2.0","PROPOSED","Never operational controls"
"C-011","Pillar card","Navigate ordered pillars","Index, related","Default, current, focus","Pillar index, doctrine","Grid to stack","Number and name text","Query loop/pattern","V2.0","PROPOSED",""
"C-012","Creator-lane card","Introduce approved creator content","Peter, Hayley, shared","Default, focus, unavailable","About, Journal, creator","Stack on mobile","Byline/approval clarity","Pattern","V2.0","PROPOSED","No content without approval"
"C-013","Journal card","Preview publication","Featured, list, compact","Default, hover, focus","Journal, home, search","Stack metadata","Title, author, date, category","Query loop","V2.0","PROPOSED",""
"C-014","Call to action","Offer safe next step","Full, inline, image","Default, focus","All hubs","Stack content","Descriptive action","Synced pattern","V2.0","PROPOSED",""
"C-015","Quote/manifesto block","Give doctrine room","Quote, statement","Default, focus","Vision, Manifesto, Journal","Readable measure","Attribution and heading context","Synced pattern","V2.0","PROPOSED",""
"C-016","Progress/transparency block","Show dated evidence and review","Timeline, update, summary","Current, archived","Progress, projects, systems","Stack metadata","Status text and dates","Pattern/query loop","V2.x","PROPOSED",""
"C-017","Evidence/update block","Explain source and freshness","Source, review","Default, expanded","Research, projects, systems","Stack","Source link and date","Pattern","V2.0","PROPOSED",""
"C-018","Image/caption/credit","Present approved media","Hero, figure, decorative","Default, expanded","All media templates","Responsive crop","Alt, caption, credit, rights","Image/Media blocks","V2.0","PROPOSED","Rights required"
"C-019","Form fields","Collect approved enquiries","Text, select, textarea","Focus, error, disabled","Contact, future forms","Stack fields","Label, instructions, autocomplete","Form plugin mapping only","V2.0","PROPOSED","No activation here"
"C-020","Validation/error/success","Explain form state","Inline, summary","Error, success, loading","Forms, search","Remain adjacent","Programmatic association and summary","Pattern/plugin states","V2.0","PROPOSED",""
"C-021","Cookie/privacy interface","Communicate consent","Banner, preferences","Initial, saved, focus","Global/legal","Stack buttons","Labels, focus, no dark pattern","Consent plugin styling map","V2.0","PROPOSED",""
"C-022","Accordion/FAQ","Reveal grouped answers","FAQ, policy","Closed, open, focus","FAQ, legal","Full width","Button semantics and state","Details/Disclosure pattern","V2.0","PROPOSED",""
"C-023","Empty state","Explain no available content","Search, collection, future","Default, action","Search, projects, community","Stack","Next action and clear text","Pattern","V2.0","PROPOSED",""
