flow_id,route_or_component,status,purpose,data_or_identifier,personal_data_status,sensitive_data_possible,source,recipient_or_processor,lawful_basis_status,retention_status,privacy_notice_status,pecr_status,international_transfer_status,evidence_status,activation_gate,required_action,notes
WDF-001,Informational page visits,current,Display public V2 content,Server and browser request metadata,possible,false,Visitor and hosting runtime,Provider not yet verified,UNKNOWN,UNKNOWN,Runtime verification required,Runtime verification required,UNKNOWN,EVIDENCE INSUFFICIENT,Publication runtime review,Verify logs and provider before final launch,Do not claim no tracking
WDF-002,External links,current,Send visitor to an external platform,Click and destination request,possible,false,Visitor,External destination provider,Not New Earth-controlled,External policy,Link notice required,Provider dependent,Provider dependent,VERIFIED LINK PATTERN,External-link review,Keep labels and fallback links,No embedded service
WDF-003,Contact / Work With Us form,current,Receive and route an enquiry,Name email enquiry type subject optional organisation and message,yes,possible,Visitor,Website host and email service provider,Legitimate interests stated; runtime review remains required,Mailbox and correspondence retention to be defined operationally,Current Privacy Policy and just-in-time acknowledgement,Not applicable to enquiry response,UNKNOWN,Routine contact operation,Do not use enquiry data for mailing or unrelated marketing,No phone address DOB account or newsletter field
WDF-004,Work With Us routes,current,Offer controlled enquiry categories,Same Contact form fields as WDF-003,yes,possible,Visitor,Website host and email service provider,Same as WDF-003,Same as WDF-003,Same as WDF-003,Not applicable to enquiry response,UNKNOWN,Routine contact operation,Keep categories as contact only; no employment placement investment or partnership promise,No separate application or submission system
WDF-005,Mailing list signup,future trigger,Send updates or marketing,Email address consent record subscription preferences and suppression record,yes,false,Visitor,Provider not yet approved,Explicit consent required,Define before activation,Update notice before collection; purpose frequency and unsubscribe required,PECR/direct-marketing review required,Provider dependent,NOT IMPLEMENTED,Mailing activation gate,Approve provider endpoint consent retention DPA accessibility success/error and unsubscribe/suppression before collection,No signup or provider code currently exists
WDF-006,Commerce checkout,future trigger,Take payment for products,Identity contact order and payment references,yes,possible,Customer,Payment provider not yet verified,Defined before activation,Defined before activation,Notice required,PECR dependent,Provider dependent,NOT IMPLEMENTED,Commerce activation gate,Complete seller consumer payment and privacy design,No checkout currently evidenced
WDF-007,Native community,future trigger,Support accounts posts or messaging,Account profile content and messages,yes,possible,Participant,Provider not yet verified,Defined before activation,Defined before activation,Notice required,PECR dependent,Provider dependent,NOT IMPLEMENTED,Community UGC gate,Complete moderation safety rights and retention design,External platform is separate
WDF-008,AI interaction,future trigger,Provide an AI interaction if later approved,Prompts conversation and device data may be supplied,yes,possible,User,AI provider not yet verified,Defined before activation,Defined before activation,Notice required,PECR dependent,Provider dependent,NOT IMPLEMENTED,AI activation gate,Define transparency data handling accuracy and escalation,GAIA is not currently public
WDF-009,Wellbeing app linkage,future trigger,Link to future New Earth Living capability,Wellbeing entries or account identifiers may be involved,yes,yes,User,Provider not yet verified,Defined before activation,Defined before activation,Notice required,PECR dependent,Provider dependent,PROGRAMME LEAD ONLY,Health and app data gate,Perform separate health and data review,No current data flow
WDF-010,BioCalm linkage,future trigger,Link to future research or device capability,Physiological or device data may be involved,yes,yes,User or device,Provider not yet verified,Defined before activation,Defined before activation,Notice required,PECR dependent,Provider dependent,PROGRAMME LEAD ONLY,Health device data gate,Perform separate health/device/data review,Do not call it medical
WDF-011,Donations or investment,future trigger,Accept support or investment,Identity payment and financial references,yes,possible,Supporter or investor,Provider not yet verified,Defined before activation,Defined before activation,Notice required,PECR dependent,Provider dependent,NOT IMPLEMENTED,Funding/investment gate,Determine legal meaning and regulated status before activation,No current support mechanism
WDF-012,Analytics or measurement,unknown,Measure use of the website,Identifiers and event data unknown,possible,false,Visitor,Provider not yet verified,Runtime verification required,Runtime verification required,Runtime verification required,PECR classification requires configuration,UNKNOWN,NOT VERIFIED,Runtime privacy gate,Inspect scripts storage requests and purposes,No offline tracker evidenced
