term_id,public_term,internal_or_alternative_terms,definition,public_usage,avoid_or_restrict,evidence_class,owner,approval_status,notes,public_category,relationship_to_other_terms
TERM-001,New Earth,"future society; new civilisation",A living framework for conscious civilisation and practical change,Use as the named vision and framework,Do not present a completed society or guaranteed outcome,VISION,New Earth,APPROVED,Use grounded language,vision,"The wider independent vision; it holds the Vision, Blueprint, Manifesto, New Earth in Practice and selected practical work."
TERM-002,Blueprint,"framework; inner blueprint",The structural framework connecting vision principles and practical areas,Use for the public framework,Do not imply a finished implementation,PRINCIPLE,New Earth,APPROVED,Source in 00_BLUEPRINT and 03_CONTENT,content area,"A practical framework beneath Vision, alongside the Manifesto; it is not a project or product."
TERM-003,12 Pillars,"pillar framework",Twelve interconnected areas through which the Blueprint can be explored,Use with the approved names and order,Do not imply ranking or completeness of delivery,PRINCIPLE,New Earth,APPROVED,Canonical routes in WA-02
TERM-004,Ecosystem,"systems; ecosystem map",The relationships between New Earth ideas people projects and participation,Use as the public navigation label,Do not expose private architecture,PRINCIPLE,New Earth,APPROVED,Systems is a legacy route
TERM-005,Projects,"initiatives; project directory",Developing work presented with its current status and evidence,Use with an explicit status,Do not imply operational readiness,UNKNOWN / REQUIRES VERIFICATION,New Earth,APPROVED,Owner and evidence required per project,content area,"The deeper evidence-led layer for work introduced by What We're Building; it is not a product catalogue."
TERM-006,Journal,"Articles; blog",The canonical place for public writing and learning,Use as the publication hub,Do not create duplicate Articles positioning,DOCUMENTED HISTORY,New Earth,APPROVED,Articles redirects later
TERM-007,Get Involved,"participate; community",Routes for learning contributing collaborating and supporting,Use for accessible participation choices,Do not promise membership or outcomes without evidence,PRINCIPLE,New Earth,APPROVED,No portal implied
TERM-008,New Earth Advanced Technologies Ltd,"company; technology organisation",A practical operating company used to develop selected technology engineering research and product work aligned with the New Earth vision,Use with verified company facts and the approved bounded relationship language,Do not present it as the owner of external communities or the wider New Earth movement,ESTABLISHED FACT,Company owner,APPROVED,Verified legal details are published,company,"One practical vehicle within the wider New Earth body of work; it does not replace New Earth as the identity."
TERM-009,MicroGrow,"growing system; implementation node",The current practical New Earth project direction,Use with its IN DEVELOPMENT public status and current evidence,Do not claim commercial availability universal availability or proven results,IN DEVELOPMENT,MicroGrow,APPROVED,Source set exists,project,"A specific New Earth project in the Projects evidence layer; it is not a currently available Digital Product."
TERM-010,MicroGrow AI Lab,"AI lab; research environment",A research-stage project exploring growing systems local intelligence and practical technology,Use as research-stage,Do not claim autonomous operation or proven performance,RESEARCH,MicroGrow,APPROVED,Owner and evidence gate remain
TERM-011,Field Scanner,"scanner; node device",A handheld concept for discovering and inspecting MicroGrow nodes,Use as a device concept,Do not say available or that it scans landscapes,CONCEPT,Project owner,APPROVED,Status must remain explicit
TERM-012,New Earth Living,"Conscious Living app; app direction",An app direction connected to the Conscious Living ecosystem lane,Use as in development only when verified,Do not claim current availability or physical settlement,IN DEVELOPMENT,Project owner,APPROVED,Offer and owner require verification
TERM-013,BioCalm,"wellbeing project",A research-stage project name requiring owner evidence,Use only after source consolidation,Do not make health or performance claims,RESEARCH,Project owner,REQUIRES REVIEW,Medical and safety escalation may apply
