"Direction","Token category","Token name","Proposed value","Usage","Accessibility constraint","Status","Notes"
"A","Colour","surface-base","#FCFAF5","Primary page surface","Use dark text at 4.5:1 or higher","PROPOSED","Warm ivory"
"A","Colour","surface-alt","#F4EFE4","Sections and cards","Use dark text at 4.5:1 or higher","PROPOSED","Warm sand"
"A","Colour","ink","#1F1F1F","Body text","Minimum 4.5:1 on light surfaces","PROPOSED","Primary text"
"A","Colour","brand-primary","#2F4F3B","Headings, links, primary action","Minimum 4.5:1 for text","PROPOSED","Earth green"
"A","Colour","brand-deep","#243C2D","Dark surfaces and hover","Pair with light text","PROPOSED","Deep green"
"A","Colour","accent","#8A6F32","Small accent and rule","Never use for body text unless tested","PROPOSED","Restrained gold"
"A","Typography","font-display","ui-serif, Georgia, serif","Display headings and quotes","No remote font dependency","PROPOSED","Privacy-respecting fallback"
"A","Typography","font-body","ui-sans-serif, system-ui, sans-serif","Body and navigation","No remote font dependency","PROPOSED","Readable system stack"
"A","Spacing","space-1","4px","Micro spacing","Preserve touch targets","PROPOSED","Base rhythm"
"A","Spacing","space-4","16px","Default gap and padding","Do not reduce readable separation","PROPOSED","Core rhythm"
"A","Spacing","space-8","32px","Section gap","Responsive reduction must remain readable","PROPOSED","Core rhythm"
"A","Layout","content-max","760px","Reading content","Preserve 60-78ch measure","PROPOSED","Existing foundation"
"A","Layout","wide-max","1200px","Grids and wide layout","Do not stretch prose","PROPOSED","Existing foundation"
"A","Shape","radius-card","14px","Cards and inputs","Visible boundaries remain clear","PROPOSED","Moderate"
"A","Border","border-subtle","1px solid #D8D2C7","Dividers and cards","Contrast with surface must remain visible","PROPOSED","Quiet structure"
"A","Shadow","shadow-soft","0 10px 30px rgba(0,0,0,.06)","Raised cards","Never sole boundary indicator","PROPOSED","Low drama"
"A","Motion","duration-standard","180ms","Hover and disclosure","Respect reduced motion","PROPOSED","Purposeful"
"A","Focus","focus-ring","3px solid #1F5F53","Keyboard focus","Minimum 3:1 against adjacent colours","PROPOSED","Never remove"
"B","Colour","surface-base","#F7FAF8","Primary page surface","Use dark text at 4.5:1 or higher","PROPOSED","Cool neutral"
"B","Colour","surface-alt","#E8F0EC","Sections and cards","Use dark text at 4.5:1 or higher","PROPOSED","Pale sage"
"B","Colour","ink","#17332F","Body text","Minimum 4.5:1 on light surfaces","PROPOSED","Deep teal ink"
"B","Colour","brand-primary","#14594F","Headings, links, primary action","Minimum 4.5:1 for text","PROPOSED","Teal green"
"B","Colour","brand-deep","#0B342F","Dark surfaces and hover","Pair with light text","PROPOSED","Deep teal"
"B","Colour","accent","#3C6F64","Small accent and evidence","Do not use alone for status","PROPOSED","Darker restrained teal for text contrast"
"B","Typography","font-display","ui-serif, Georgia, serif","Display headings","No remote font dependency","PROPOSED","Editorial anchor"
"B","Typography","font-body","ui-sans-serif, system-ui, sans-serif","Body and navigation","No remote font dependency","PROPOSED","Systems clarity"
"B","Spacing","space-scale","4,8,12,16,24,32,48,64,96px","All layout rhythm","Preserve readable gaps","PROPOSED","Shared scale"
"B","Layout","content-max","760px","Reading content","Preserve 60-78ch measure","PROPOSED","Existing foundation"
"B","Layout","wide-max","1200px","Grids and wide layout","Do not stretch prose","PROPOSED","Existing foundation"
"B","Shape","radius-card","12px","Cards and controls","Clear edges and focus","PROPOSED","Crisp rounded"
"B","Border","border-subtle","1px solid #C8D8D1","Dividers and cards","Visible without colour alone","PROPOSED","Cool border"
"B","Shadow","shadow-soft","0 8px 24px rgba(15,55,48,.08)","Raised cards","Never sole boundary indicator","PROPOSED","Quiet depth"
"B","Breakpoints","breakpoints","480,768,1024,1280px","Responsive states","Test reflow and zoom","PROPOSED","Content-driven"
"B","Motion","duration-standard","160ms","Hover and disclosure","Respect reduced motion","PROPOSED","Short"
"B","Focus","focus-ring","3px solid #0B6B61","Keyboard focus","Minimum 3:1 against adjacent colours","PROPOSED","Visible"
"C","Colour","surface-base","#FCFAF5","Primary page surface","Use dark text at 4.5:1 or higher","PROPOSED","Warm base"
"C","Colour","surface-alt","#EEF2EE","Sections and cards","Use dark text at 4.5:1 or higher","PROPOSED","Living neutral"
"C","Colour","ink","#202522","Body text","Minimum 4.5:1 on light surfaces","PROPOSED","Human readable"
"C","Colour","brand-primary","#234F43","Headings, links, primary action","Minimum 4.5:1 for text","PROPOSED","Forest teal"
"C","Colour","brand-deep","#17372F","Dark surfaces and hover","Pair with light text","PROPOSED","Credible depth"
"C","Colour","accent","#8A6F32","Small gold accent","Never use for body text","PROPOSED","Darker ceremonial restraint for text contrast"
"C","Colour","systems-accent","#3F746B","Evidence and systems accents","Pair with text labels","PROPOSED","No neon"
"C","Typography","font-display","ui-serif, Georgia, serif","Vision, doctrine, quotes","No remote font dependency","PROPOSED","Warm editorial"
"C","Typography","font-body","ui-sans-serif, system-ui, sans-serif","Body, navigation, metadata","No remote font dependency","PROPOSED","Stable fallback"
"C","Typography","font-mono","ui-monospace, Consolas, monospace","Technical labels only","Do not create dashboard density","PROPOSED","Limited use"
"C","Font size","type-scale","0.8125,0.9375,1,1.25,1.75,2.25,3.5rem","Responsive type roles","Test at 200% zoom","PROPOSED","Fluid where safe"
"C","Font weight","weight-regular","400","Body","Maintain readable strokes","PROPOSED","Default"
"C","Font weight","weight-medium","500","Labels and navigation","Do not use all caps for paragraphs","PROPOSED","Controlled emphasis"
"C","Font weight","weight-bold","700","Headings and strong action","Maintain contrast and hierarchy","PROPOSED","Limited"
"C","Line height","body","1.65","Body and Journal","Preserve readable measure","PROPOSED","Long-form comfort"
"C","Line height","heading","1.15","Headings","Wrap and test at zoom","PROPOSED","Compact"
"C","Spacing","space-scale","4,8,12,16,24,32,48,64,96px","All layout rhythm","Preserve touch targets","PROPOSED","Shared scale"
"C","Layout","content-max","760px","Reading content","Preserve 60-78ch measure","PROPOSED","Existing foundation"
"C","Layout","wide-max","1200px","Grids and wide layout","Do not stretch prose","PROPOSED","Existing foundation"
"C","Shape","radius-card","14px","Cards and controls","Boundaries remain clear","PROPOSED","Balanced"
"C","Border","border-subtle","1px solid #D4DAD4","Dividers and cards","Visible without colour alone","PROPOSED","Balanced"
"C","Shadow","shadow-soft","0 10px 30px rgba(24,52,44,.07)","Raised cards","Never sole boundary indicator","PROPOSED","Quiet"
"C","Breakpoints","breakpoints","480,768,1024,1280px","Responsive states","Test reflow, zoom, landscape","PROPOSED","Content-driven"
"C","Motion","duration-standard","180ms","Hover and disclosure","Respect reduced motion","PROPOSED","Purposeful"
"C","Focus","focus-ring","3px solid #1A665B","Keyboard focus","Minimum 3:1 against adjacent colours","PROPOSED","Visible"
"C","Image","hero-treatment","cover with focal-point metadata","Hero and card imagery","Provide alt or decorative treatment","PROPOSED","Never stretch"
