"discovery_id","asset_id","filename","repo_relative_path","extension","file_size_bytes","width","height","aspect_ratio","sha256","top_level_area","source_classification","git_status","git_tracked","git_ignored","duplicate_group_id","wa05h_match_status","review_classification","public_build_eligibility","rights_status","provenance_status","accessibility_status","notes"
"IMGDISC-0001","AST-001","global_page_hero_template.webp","ASSETS/01_GLOBAL_SITE/heroes/global_page_hero_template.webp",".webp","353866","UNKNOWN","UNKNOWN","UNKNOWN","c66648e2cadcd265c7a7f12ecd52d39be24fe5933f355a1a656cc2d533999cee","ASSETS","CURATED_WEBSITE_ASSET","TRACKED","True","False","","MATCHED","OWNER_REVIEW_CANDIDATE","BLOCKED_RIGHTS","PROVENANCE PARTIAL","PROVENANCE PARTIAL","INFORMATIVE","Physical discovery is not public approval"
"IMGDISC-0002","AST-002","home_hero_new_earth_main.webp","ASSETS/02_HOME/hero/home_hero_new_earth_main.webp",".webp","562806","UNKNOWN","UNKNOWN","UNKNOWN","a16cac1948a0f02e3f182d7411e848504a424549be605273afb2903d7f864da9","ASSETS","CURATED_WEBSITE_ASSET","TRACKED","True","False","","MATCHED","OWNER_REVIEW_CANDIDATE","BLOCKED_RIGHTS","PROVENANCE PARTIAL","PROVENANCE PARTIAL","INFORMATIVE","Physical discovery is not public approval"
"IMGDISC-0003","AST-010","home_introduction_new_earth.webp","ASSETS/02_HOME/sections/home_introduction_new_earth.webp",".webp","440506","UNKNOWN","UNKNOWN","UNKNOWN","7802994d213b830b8033685a35fb5007a57abbab96b94ea087790a085be1ca20","ASSETS","CURATED_WEBSITE_ASSET","TRACKED","True","False","","MATCHED","OWNER_REVIEW_CANDIDATE","BLOCKED_RIGHTS","PROVENANCE PARTIAL","PROVENANCE PARTIAL","INFORMATIVE","Physical discovery is not public approval"
"IMGDISC-0004","AST-003","manifesto_hero.webp","ASSETS/03_MANIFESTO/hero/manifesto_hero.webp",".webp","316824","UNKNOWN","UNKNOWN","UNKNOWN","06ea9b1f4ebfca290e01f238ea2ef0cbe604e4f0e0fda89baae7b8dac337cd69","ASSETS","CURATED_WEBSITE_ASSET","TRACKED","True","False","","MATCHED","OWNER_REVIEW_CANDIDATE","BLOCKED_RIGHTS","PROVENANCE PARTIAL","PROVENANCE PARTIAL","INFORMATIVE","Physical discovery is not public approval"
"IMGDISC-0005","AST-004","blueprint_hero.webp","ASSETS/04_BLUEPRINT/hero/blueprint_hero.webp",".webp","505880","UNKNOWN","UNKNOWN","UNKNOWN","44c3bc8fb6ffd0e45cb99f8e2d253cd3d4a428d5abec29913c4d6c8fc0d68615","ASSETS","CURATED_WEBSITE_ASSET","TRACKED","True","False","","MATCHED","OWNER_REVIEW_CANDIDATE","BLOCKED_RIGHTS","PROVENANCE PARTIAL","PROVENANCE PARTIAL","INFORMATIVE","Physical discovery is not public approval"
"IMGDISC-0006","AST-005","systems_hero.webp","ASSETS/05_SYSTEMS/hero/systems_hero.webp",".webp","539424","UNKNOWN","UNKNOWN","UNKNOWN","a0f0b845390c5eb4ce274a34a13e5ea72ec2fb238f04b2ae7f6b504014f99d19","ASSETS","CURATED_WEBSITE_ASSET","TRACKED","True","False","","MATCHED","OWNER_REVIEW_CANDIDATE","BLOCKED_RIGHTS","PROVENANCE PARTIAL","PROVENANCE PARTIAL","INFORMATIVE","Physical discovery is not public approval"
"IMGDISC-0007","AST-008","field_scanner_project.webp","ASSETS/05_SYSTEMS/projects/field_scanner_project.webp",".webp","216984","UNKNOWN","UNKNOWN","UNKNOWN","fd46b0aded20f0992340783eb36c3352462992c5e938a2cdcc3bd653df86cc7d","ASSETS","CURATED_WEBSITE_ASSET","TRACKED","True","False","","MATCHED","OWNER_REVIEW_CANDIDATE","BLOCKED_RIGHTS","PROVENANCE PARTIAL","PROVENANCE PARTIAL","INFORMATIVE","Physical discovery is not public approval"
"IMGDISC-0008","AST-006","microgrow_hero.webp","ASSETS/06_MICROGROW/hero/microgrow_hero.webp",".webp","339832","UNKNOWN","UNKNOWN","UNKNOWN","72eecd869c4b0b2f906d01940d875bd236ff350a7e4297a64f7b4e32a460e9fb","ASSETS","CURATED_WEBSITE_ASSET","TRACKED","True","False","","MATCHED","OWNER_REVIEW_CANDIDATE","BLOCKED_RIGHTS","PROVENANCE PARTIAL","PROVENANCE PARTIAL","INFORMATIVE","Physical discovery is not public approval"
"IMGDISC-0009","AST-007","microgrow_ai_lab_project_card.webp","ASSETS/06_MICROGROW/product/microgrow_ai_lab_project_card.webp",".webp","233504","UNKNOWN","UNKNOWN","UNKNOWN","b2e258d08d1da2fb2d666939ef5b65d9d25c1f13291d1019ef32cfbe400940b7","ASSETS","CURATED_WEBSITE_ASSET","TRACKED","True","False","","MATCHED","OWNER_REVIEW_CANDIDATE","BLOCKED_RIGHTS","PROVENANCE PARTIAL","PROVENANCE PARTIAL","INFORMATIVE","Physical discovery is not public approval"
"IMGDISC-0010","AST-014","about_hero.webp","ASSETS/07_ABOUT/hero/about_hero.webp",".webp","415100","UNKNOWN","UNKNOWN","UNKNOWN","334ff1003ee6bb8b8ee0a9913d23f66aa0e757d4a43d67d255c6cc2d5c27df7f","ASSETS","CURATED_WEBSITE_ASSET","TRACKED","True","False","","MATCHED","OWNER_REVIEW_CANDIDATE","BLOCKED_RIGHTS","PROVENANCE PARTIAL","PROVENANCE PARTIAL","INFORMATIVE","Physical discovery is not public approval"
"IMGDISC-0011","AST-015","contact_banner.webp","ASSETS/08_CONTACT/banners/contact_banner.webp",".webp","452360","UNKNOWN","UNKNOWN","UNKNOWN","5b752a58662b582bf9a6063b2d5f9876dcc74b7b7f08537a028dd709476fcf32","ASSETS","CURATED_WEBSITE_ASSET","TRACKED","True","False","","MATCHED","OWNER_REVIEW_CANDIDATE","BLOCKED_RIGHTS","PROVENANCE PARTIAL","PROVENANCE PARTIAL","DECORATIVE","Physical discovery is not public approval"
"IMGDISC-0012","AST-011","journal_featured_home.webp","ASSETS/09_BLOG/featured/journal_featured_home.webp",".webp","263580","UNKNOWN","UNKNOWN","UNKNOWN","87c985ec6827d5faf7c32bff6c8ef33a3e79b2950c7e0413bb3d549b73a3e4f5","ASSETS","CURATED_WEBSITE_ASSET","TRACKED","True","False","","MATCHED","OWNER_REVIEW_CANDIDATE","BLOCKED_RIGHTS","PROVENANCE PARTIAL","PROVENANCE PARTIAL","INFORMATIVE","Physical discovery is not public approval"
"IMGDISC-0013","AST-013","faq_glossary_featured.webp","ASSETS/10_RESOURCES/featured/faq_glossary_featured.webp",".webp","204662","UNKNOWN","UNKNOWN","UNKNOWN","8680afeb285b9c27e02010ddf380c73cd798de9a0f0412b77261259b168adf18","ASSETS","CURATED_WEBSITE_ASSET","TRACKED","True","False","","MATCHED","OWNER_REVIEW_CANDIDATE","BLOCKED_RIGHTS","PROVENANCE PARTIAL","PROVENANCE PARTIAL","INFORMATIVE","Physical discovery is not public approval"
"IMGDISC-0014","AST-012","resources_featured_home.webp","ASSETS/10_RESOURCES/featured/resources_featured_home.webp",".webp","274030","UNKNOWN","UNKNOWN","UNKNOWN","8bec827d3bc3db2b57085ae9e0c75c62ff9aac76ca7891883d118a4073bbca3b","ASSETS","CURATED_WEBSITE_ASSET","TRACKED","True","False","","MATCHED","OWNER_REVIEW_CANDIDATE","BLOCKED_RIGHTS","PROVENANCE PARTIAL","PROVENANCE PARTIAL","INFORMATIVE","Physical discovery is not public approval"
"IMGDISC-0015","AST-009","new_earth_living_app.webp","ASSETS/10_RESOURCES/hero/new_earth_living_app.webp",".webp","175920","UNKNOWN","UNKNOWN","UNKNOWN","b87796075ac89d5b85e12f2593e2be11f8fc5916d6173b7056a2aac0adb099d3","ASSETS","CURATED_WEBSITE_ASSET","TRACKED","True","False","","MATCHED","OWNER_REVIEW_CANDIDATE","BLOCKED_RIGHTS","PROVENANCE PARTIAL","PROVENANCE PARTIAL","INFORMATIVE","Physical discovery is not public approval"
"IMGDISC-0016","AST-016","community_hero.webp","ASSETS/11_COMMUNITY/hero/community_hero.webp",".webp","677654","UNKNOWN","UNKNOWN","UNKNOWN","25a403610937644d757e2ca5f0f9056dfe0642f39f2fee2fbee6d14d9c4a2ea5","ASSETS","CURATED_WEBSITE_ASSET","TRACKED","True","False","","MATCHED","OWNER_REVIEW_CANDIDATE","BLOCKED_RIGHTS","PROVENANCE PARTIAL","PROVENANCE PARTIAL","INFORMATIVE","Physical discovery is not public approval"
"IMGDISC-0017","AST-017","new_earth_builders_logo.webp","ASSETS/11_COMMUNITY/partners/new_earth_builders_logo.webp",".webp","39808","UNKNOWN","UNKNOWN","UNKNOWN","8e03c9f84187e01008854297327c4117980c7b76a113ed4c0d284cb02b85bec6","ASSETS","CURATED_WEBSITE_ASSET","TRACKED","True","False","","MATCHED","OWNER_REVIEW_CANDIDATE","BLOCKED_RIGHTS","PROVENANCE PARTIAL","PROVENANCE PARTIAL","LOGO / BRAND","Physical discovery is not public approval"
"IMGDISC-0018","","home_section_blueprint.png","ASSETS/_INBOX/home_section_blueprint.png",".png","2999438","1536","1024","1.5000","21dd2b98d2b042beeaecbc79aa73f6d3cdee83c1b52d11b97e0112915f1a0a16","ASSETS","CURATED_WEBSITE_ASSET","IGNORED","False","True","","UNMATCHED","UNKNOWN_REVIEW_REQUIRED","NOT_REVIEWED","NOT RECORDED","UNKNOWN","UNKNOWN","Discovered outside WA-05H master register"
"IMGDISC-0019","","home_section_manifesto.png","ASSETS/_INBOX/home_section_manifesto.png",".png","2626541","1536","1024","1.5000","37ecda8e621ddf2a0168b6d7d381d073911b01107ea3a6fa1f03d0453588b1a7","ASSETS","CURATED_WEBSITE_ASSET","IGNORED","False","True","","UNMATCHED","UNKNOWN_REVIEW_REQUIRED","NOT_REVIEWED","NOT RECORDED","UNKNOWN","UNKNOWN","Discovered outside WA-05H master register"
"IMGDISC-0020","","home_section_microgrow.png","ASSETS/_INBOX/home_section_microgrow.png",".png","2587689","1536","1024","1.5000","1e761f81e19ea6a172e9bb62177b5994b84f1ddec47aa577859c096f1b6fb36d","ASSETS","CURATED_WEBSITE_ASSET","IGNORED","False","True","","UNMATCHED","UNKNOWN_REVIEW_REQUIRED","NOT_REVIEWED","NOT RECORDED","UNKNOWN","UNKNOWN","Discovered outside WA-05H master register"
"IMGDISC-0021","","home_section_vision.png","ASSETS/_INBOX/home_section_vision.png",".png","3634099","1536","1024","1.5000","95866e814bbcc3f712081df5364ac0d851bb11049926c85f99ae3c190db619a4","ASSETS","CURATED_WEBSITE_ASSET","IGNORED","False","True","","UNMATCHED","UNKNOWN_REVIEW_REQUIRED","NOT_REVIEWED","NOT RECORDED","UNKNOWN","UNKNOWN","Discovered outside WA-05H master register"
"IMGDISC-0022","","microgrow_app_mockup.png","ASSETS/_INBOX/microgrow_app_mockup.png",".png","2099242","1024","1536","0.6667","57ca166a27889d51e2ebd75362b5096a6d622492fa70f28891b86c90a506f81a","ASSETS","CURATED_WEBSITE_ASSET","IGNORED","False","True","","UNMATCHED","UNKNOWN_REVIEW_REQUIRED","NOT_REVIEWED","NOT RECORDED","UNKNOWN","UNKNOWN","Discovered outside WA-05H master register"
"IMGDISC-0023","","microgrow_lifestyle_home.png","ASSETS/_INBOX/microgrow_lifestyle_home.png",".png","2533211","1536","1024","1.5000","8efd65a6660f843972847be7fb720be15af76b7fd5497e986d5008dfaf1bd0e7","ASSETS","CURATED_WEBSITE_ASSET","IGNORED","False","True","","UNMATCHED","UNKNOWN_REVIEW_REQUIRED","NOT_REVIEWED","NOT RECORDED","UNKNOWN","UNKNOWN","Discovered outside WA-05H master register"
"IMGDISC-0024","","microgrow_product_closeup.png","ASSETS/_INBOX/microgrow_product_closeup.png",".png","2750096","1536","1024","1.5000","c011a50cf0b6594b88e8e6021fa154b3fa4af2be43b6819ae2d74dba8ec4797d","ASSETS","CURATED_WEBSITE_ASSET","IGNORED","False","True","","UNMATCHED","UNKNOWN_REVIEW_REQUIRED","NOT_REVIEWED","NOT RECORDED","UNKNOWN","UNKNOWN","Discovered outside WA-05H master register"
"IMGDISC-0025","","systems_education.png","ASSETS/_INBOX/systems_education.png",".png","3047243","1536","1024","1.5000","7478575eee752f3c8952a9d95f9fa3c9f2f615d51d7f3bd833b9c559ca1d6150","ASSETS","CURATED_WEBSITE_ASSET","IGNORED","False","True","","UNMATCHED","UNKNOWN_REVIEW_REQUIRED","NOT_REVIEWED","NOT RECORDED","UNKNOWN","UNKNOWN","Discovered outside WA-05H master register"
"IMGDISC-0026","","systems_energy.png","ASSETS/_INBOX/systems_energy.png",".png","3242977","1536","1024","1.5000","c1c012d002fa336c320313ffb03e4a48780e0ab1d9527985ad16bcc214c2da57","ASSETS","CURATED_WEBSITE_ASSET","IGNORED","False","True","","UNMATCHED","UNKNOWN_REVIEW_REQUIRED","NOT_REVIEWED","NOT RECORDED","UNKNOWN","UNKNOWN","Discovered outside WA-05H master register"
"IMGDISC-0027","","systems_food.png","ASSETS/_INBOX/systems_food.png",".png","3086559","1536","1024","1.5000","fcb4c3b5e39237b9baa59b838311ab6d8a6310842f31ad918a2ab347bd672d55","ASSETS","CURATED_WEBSITE_ASSET","IGNORED","False","True","","UNMATCHED","UNKNOWN_REVIEW_REQUIRED","NOT_REVIEWED","NOT RECORDED","UNKNOWN","UNKNOWN","Discovered outside WA-05H master register"
"IMGDISC-0028","","systems_governance_community.png","ASSETS/_INBOX/systems_governance_community.png",".png","3659058","1536","1024","1.5000","33ca17963b9fca89d99e88333c3a10d0db05ae0f8086055403097b8d1db9abeb","ASSETS","CURATED_WEBSITE_ASSET","IGNORED","False","True","DUP-001","UNMATCHED","UNKNOWN_REVIEW_REQUIRED","NOT_REVIEWED","NOT RECORDED","UNKNOWN","UNKNOWN","Discovered outside WA-05H master register"
"IMGDISC-0029","","systems_health.png","ASSETS/_INBOX/systems_health.png",".png","3413944","1536","1024","1.5000","41659ea84779a92657b4721eefda0ce96b62daf9a152490066320ec7c7a645e5","ASSETS","CURATED_WEBSITE_ASSET","IGNORED","False","True","DUP-002","UNMATCHED","UNKNOWN_REVIEW_REQUIRED","NOT_REVIEWED","NOT RECORDED","UNKNOWN","UNKNOWN","Discovered outside WA-05H master register"
"IMGDISC-0030","","systems_housing.png","ASSETS/_INBOX/systems_housing.png",".png","3612579","1536","1024","1.5000","0e127c240f387f7cdd5a1adc2a9ca78dbd57ae5e76d7ad2254fb815b8e0da34f","ASSETS","CURATED_WEBSITE_ASSET","IGNORED","False","True","","UNMATCHED","UNKNOWN_REVIEW_REQUIRED","NOT_REVIEWED","NOT RECORDED","UNKNOWN","UNKNOWN","Discovered outside WA-05H master register"
