candidate_id,source_repository,source_path,filename,format,dimensions,file_size,sha256,visual_category,description,current_or_historical,real_or_conceptual,evidence_type,evidence_claim_supported,provenance_status,ownership_status,rights_status,sensitive_content,safety_concern,duplicate_group,preferred_variant,local_preview_status,public_build_status,recommended_page_section,priority,review_notes
MG-VIS-001,website,ASSETS/06_MICROGROW/hero/microgrow_hero.webp,microgrow_hero.webp,webp,1920x1080,339832,72eecd869c4b0b2f906d01940d875bd236ff350a7e4297a64f7b4e32a460e9fb,conceptual / marketing,Governed conceptual MicroGrow hero candidate,unknown,CONCEPTUAL,conceptual/reference,Visual direction only,PARTIAL,UNKNOWN,REVIEW REQUIRED,no,no,none,no,OWNER REVIEW REQUIRED,BLOCKED - RIGHTS,DO NOT USE,P4,Existing website asset; not evidence or public-ready.
MG-VIS-002,website,ASSETS/06_MICROGROW/product/microgrow_ai_lab_project_card.webp,microgrow_ai_lab_project_card.webp,webp,1600x900,233504,b2e258d08d1da2fb2d666939ef5b65d9d25c1f13291d1019ef32cfbe400940b7,conceptual / marketing,Governed conceptual MicroGrow AI Lab card visual,unknown,CONCEPTUAL,conceptual/reference,AI Lab concept only,PARTIAL,UNKNOWN,REVIEW REQUIRED,no,no,none,no,OWNER REVIEW REQUIRED,BLOCKED - RIGHTS,DO NOT USE,P4,Distinct AI Lab subject; not MicroGrow V1 evidence.
MG-VIS-003,website,ASSETS/_INBOX/home_section_microgrow.png,home_section_microgrow.png,png,1536x1024,2587689,1e761f81e19ea6a172e9bb62177b5994b84f1ddec47aa577859c096f1b6fb36d,conceptual / marketing,Owner-selected conceptual growing visual,unknown,CONCEPTUAL,conceptual/reference,Illustrative growing context only,PARTIAL,OWNER-CONTROLLED,REVIEW REQUIRED,no,no,none,no,OWNER REVIEW REQUIRED,BLOCKED - RIGHTS,DO NOT USE,P4,Inbox source; not promoted or used.
MG-VIS-004,website,ASSETS/_INBOX/microgrow_app_mockup.png,microgrow_app_mockup.png,png,1024x1536,2099242,57ca166a27889d51e2ebd75362b5096a6d622492fa70f28891b86c90a506f81a,conceptual / marketing,Owner-selected conceptual app mockup,unknown,CONCEPTUAL,conceptual/reference,App direction only,PARTIAL,OWNER-CONTROLLED,REVIEW REQUIRED,no,no,none,no,OWNER REVIEW REQUIRED,BLOCKED - RIGHTS,DO NOT USE,P4,Not verified current UI.
MG-VIS-005,website,ASSETS/_INBOX/microgrow_lifestyle_home.png,microgrow_lifestyle_home.png,png,1536x1024,2533211,8efd65a6660f843972847be7fb720be15af76b7fd5497e986d5008dfaf1bd0e7,conceptual / marketing,Owner-selected conceptual lifestyle visual,unknown,CONCEPTUAL,conceptual/reference,Contextual direction only,PARTIAL,OWNER-CONTROLLED,REVIEW REQUIRED,no,no,none,no,OWNER REVIEW REQUIRED,BLOCKED - RIGHTS,DO NOT USE,P4,Not evidence of a current installation.
MG-VIS-006,website,ASSETS/_INBOX/microgrow_product_closeup.png,microgrow_product_closeup.png,png,1536x1024,2750096,c011a50cf0b6594b88e8e6021fa154b3fa4af2be43b6819ae2d74dba8ec4797d,conceptual / marketing,Owner-selected conceptual product close-up,unknown,CONCEPTUAL,conceptual/reference,Product direction only,PARTIAL,OWNER-CONTROLLED,REVIEW REQUIRED,no,no,none,no,OWNER REVIEW REQUIRED,BLOCKED - RIGHTS,DO NOT USE,P4,Not verified current hardware.
MG-VIS-007,MicroGrow V1,docs/diagrams/source_ai_drafts/microgrow_v1_bench_photo_annotated.png,microgrow_v1_bench_photo_annotated.png,png,1024x1024,2150337,c27470f5fd41fdae28400df94926d07856e1556c3f81addea1893951b1fc3a6c,physical hardware,"Labelled bench-style visual of ESP32, relay module and SHTC3",unknown,CONCEPTUAL,conceptual/reference,"At most illustrates named parts; does not prove current bench state",KNOWN,UNKNOWN,REVIEW REQUIRED,no,YES - wiring labels,none,no,DO NOT USE,NOT SUITABLE,DO NOT USE,P4,Source folder identifies AI draft; safety detail and provenance prevent use.
MG-VIS-008,MicroGrow V1,software/flutter_app/assets/images/microgrow_node_detail_hero.png,microgrow_node_detail_hero.png,png,1536x1024,2001868,4b5a87b23cf957a657a77fd4e2b4d4c30b181b6dab3e49a3b738b959ef6a3ed2,application / UI,Rendered node enclosure and phone interface,unknown,CONCEPTUAL,conceptual/reference,Illustrates app and node concept only,KNOWN,UNKNOWN,REVIEW REQUIRED,YES - network identifiers shown,no,none,no,DO NOT USE,BLOCKED - SENSITIVE,DO NOT USE,P4,Not a verified screenshot; visible identifiers require no publication.
MG-VIS-009,MicroGrow V1,software/flutter_app/assets/images/microgrow_future_dashboard.png,microgrow_future_dashboard.png,png,1536x1024,1713596,0aba946127dc50721387e3ca0727732ff37577438a368768c85d2f10c56dc5b7,application / UI,Rendered multi-node dashboard concept,unknown,CONCEPTUAL,conceptual/reference,Future dashboard direction only,KNOWN,UNKNOWN,REVIEW REQUIRED,YES - network identifiers shown,no,none,no,DO NOT USE,BLOCKED - SENSITIVE,DO NOT USE,P4,Future multi-node scope and sensitive-looking network data.
MG-VIS-010,MicroGrow V1,docs/04_hardware/prototype/images/rev_b_bench_layout.png,rev_b_bench_layout.png,png,1536x1024,2238770,314351faba902506f14038843cb876a5868436beb42257f9d25c9a4edc46f8fa,testing / validation,"Rendered Rev B bench layout with labelled power, controller and relay sections",unknown,CONCEPTUAL,conceptual/reference,"At most explains intended bench organisation; does not prove validation",KNOWN,UNKNOWN,REVIEW REQUIRED,no,YES - wiring and power detail,none,no,DO NOT USE,NOT SUITABLE,DO NOT USE,P4,Internal engineering visual and unsafe detail for public page.
