gate_id,capability,trigger,legal_privacy_review,technical_review,owner_review,other_specialist_review,publication_or_activation_condition,notes
FAG-001,Digital product sales,Product route or buy CTA,Required,Required,Required,Consumer and tax review,No sale until seller product price delivery cancellation refund and support terms are ready,Future only
FAG-002,Peter Practical Guides,Guide listing or checkout,Required,Required,Peter approval,Consumer and digital-content review,Confirm ownership attribution pricing delivery and rights before launch,Future only
FAG-003,Hayley Conscious Living,Creator lane or product listing,Required,Required,Hayley approval,Health wording and consumer review,Confirm attribution ownership wording pricing delivery and rights before launch,Future only
FAG-004,Newsletter,Signup or marketing opt-in,Required,Required,Required,PECR/direct-marketing review,Define purpose consent provider unsubscribe suppression and notice before collection,Future only
FAG-005,Payment,Checkout or support payment,Required,Required,Required,Consumer and payment review,Choose provider and document sharing refunds receipts and security boundaries,Future only
FAG-006,User accounts,Registration or login,Required,Required,Required,Security and accessibility review,Define data minimisation access deletion retention and recovery before activation,Future only
FAG-007,Native community,Profiles posts comments messaging or uploads,Required,Required,Required,UGC moderation online-safety accessibility review,Complete community safety governance and data-flow design before activation,External links alone do not trigger this gate
FAG-008,AI interaction,Public chat assistant or automated personalisation,Required,Required,Required,AI safety and accessibility review,Disclose AI data use limits escalation and decision boundaries before activation,GAIA is not currently public
FAG-009,Health or wellbeing data,New Earth Living data collection,Required,Required,Required,Health and special-category data review,Complete separate privacy and health assessment before collection or claims,Future trigger
FAG-010,BioCalm,Device or physiological data or claims,Required,Required,Required,Device health and safety review,Do not imply medical status; complete separate review before public launch,Future trigger
FAG-011,MicroGrow commercial sale,Product sale or safety claim,Required,Required,Required,Product electrical food and liability review,Verify production status safety support warranty returns and conformity before sale,Current informational wording remains bounded
FAG-012,Children or youth service,Child-directed or likely-accessed data service,Required,Required,Required,Children's Code and age-appropriate design review,Assess likely access and apply protections before processing children's data,No current child-directed flow identified
FAG-013,Donations or fundraising,Donate or fund CTA,Required,Required,Required,Charity and fundraising review,Confirm legal entity and wording; do not imply charity or tax deductibility,Future trigger
FAG-014,Investment,Investment solicitation or investor CTA,Required,Required,Required,Financial-promotion review,No investment functionality without specialist approval and regulated-activity assessment,Future trigger
FAG-015,International selling,International checkout or customer targeting,Required,Required,Required,Consumer and transfer review,Confirm territories taxes transfers and customer rights before activation,Future trigger
FAG-016,Subscriptions,Recurring billing or paid membership,Required,Required,Required,Consumer subscription review,Do not activate recurring billing or memberships before cancellation renewal payment and notice requirements are ready,Future trigger
