"asset_id","filename","owner_selected","registered","provenance_ready","rights_ready","accessibility_metadata_ready","technical_claim_ready","privacy_ready","public_build_ready","remaining_gate","recommended_action","notes"
"AST-001","global_page_hero_template.webp","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-002","home_hero_new_earth_main.webp","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-010","home_introduction_new_earth.webp","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-003","manifesto_hero.webp","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-004","blueprint_hero.webp","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-005","systems_hero.webp","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-008","field_scanner_project.webp","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-006","microgrow_hero.webp","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-007","microgrow_ai_lab_project_card.webp","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-014","about_hero.webp","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-015","contact_banner.webp","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-011","journal_featured_home.webp","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-013","faq_glossary_featured.webp","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-012","resources_featured_home.webp","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-009","new_earth_living_app.webp","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-016","community_hero.webp","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-017","new_earth_builders_logo.webp","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-018","home_section_blueprint.png","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-019","home_section_manifesto.png","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-020","home_section_microgrow.png","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-021","home_section_vision.png","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-022","microgrow_app_mockup.png","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-023","microgrow_lifestyle_home.png","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-024","microgrow_product_closeup.png","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-025","systems_education.png","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-026","systems_energy.png","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-027","systems_food.png","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-028","systems_governance_community.png","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-029","systems_health.png","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-030","systems_housing.png","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
"AST-031","systems_water.png","true","true","false","false","false","true","true","false","Rights/provenance plus final accessibility and usage review","Hold from public build","Conceptual or visual selection only."
