Batch,Section,Folder,Filename,Size,Format,Status,Notes
0,BRAND,00_BRAND\logos,new_earth_logo_concept_board.png,2000x2000,png,TODO,Main logo concept board
0,BRAND,00_BRAND\logos,new-earth-logo-primary-v1.png,1254x1254,png,APPROVED,OWNER APPROVED - New Earth Primary Logo V1; first-party New Earth brand asset; authorised for header and footer; favicon candidate later
0,BRAND,00_BRAND\logos,new-earth-emblem-v1.png,612x612,png,APPROVED,DERIVATIVE OF New Earth Primary Logo V1; first-party emblem crop for website header/footer; source pixels unchanged; no independent redesign
0,BRAND,00_BRAND\symbols,new_earth_symbol_mark.png,1024x1024,png,TODO,Symbol mark / icon mark
0,BRAND,00_BRAND\logos,microgrow_brand_lockup.png,1600x900,png,TODO,MicroGrow lockup under New Earth brand
0,BRAND,00_BRAND\textures,brand_texture_cosmic_earth.webp,1920x1080,webp,TODO,Brand texture cosmic earth
0,BRAND,00_BRAND\textures,brand_texture_sunrise_horizon.webp,1920x1080,webp,TODO,Brand texture sunrise horizon
1,GLOBAL_SITE,01_GLOBAL_SITE\heroes,global_page_hero_template.webp,1920x1080,webp,DONE,Reusable internal page hero
0,GLOBAL_SITE,01_GLOBAL_SITE\footer,footer_background_new_earth.webp,1920x500,webp,TODO,Footer background
2,GLOBAL_SITE,01_GLOBAL_SITE\cta,global_cta_join_new_earth.webp,1600x900,webp,TODO,Global CTA join image
0,GLOBAL_SITE,01_GLOBAL_SITE\utility,global_under_construction_light.webp,1600x900,webp,TODO,Under construction / 404 image
1,HOME,02_HOME\hero,home_hero_new_earth_main.webp,1920x1080,webp,DONE,Homepage hero
2,HOME,02_HOME\sections,home_section_vision.webp,1400x900,webp,TODO,Home vision section
2,VISION,01_GLOBAL_SITE\heroes,vision_hero.png,1536x1024,png,TODO,AST-021 selected Vision hero candidate promoted from ASSETS/_INBOX/home_section_vision.png; local preview only pending rights/provenance and public-build review
2,HOME,02_HOME\sections,home_section_unity.webp,1400x900,webp,TODO,Home unity section
2,HOME,02_HOME\sections,home_section_regeneration.webp,1400x900,webp,TODO,Home regeneration section
2,HOME,02_HOME\sections,home_section_conscious_systems.webp,1400x900,webp,TODO,Home conscious systems section
2,HOME,02_HOME\sections,home_section_microgrow.webp,1400x900,webp,TODO,Home MicroGrow section
1,MANIFESTO,03_MANIFESTO\hero,manifesto_hero.webp,1920x1080,webp,DONE,Manifesto hero
2,MANIFESTO,03_MANIFESTO\heroes,manifesto_hero.png,1536x1024,png,TODO,AST-019 selected Manifesto hero candidate promoted from ASSETS/_INBOX/home_section_manifesto.png; local preview only pending rights/provenance and public-build review
0,MANIFESTO,03_MANIFESTO\sections,manifesto_quote_background.webp,1600x900,webp,TODO,Manifesto quote background
0,MANIFESTO,03_MANIFESTO\print,manifesto_affirmation_poster_a3.png,3508x4961,png,TODO,Manifesto affirmation poster A3
1,BLUEPRINT,04_BLUEPRINT\hero,blueprint_hero.webp,1920x1080,webp,DONE,Blueprint hero
2,BLUEPRINT,04_BLUEPRINT\hero,blueprint_hero.png,1536x1024,png,TODO,AST-018 selected Blueprint hero candidate promoted from ASSETS/_INBOX/home_section_blueprint.png; local preview only pending rights/provenance and public-build review
3,BLUEPRINT,04_BLUEPRINT\diagrams,blueprint_12_pillars_overview.png,2000x2000,png,TODO,12 pillars overview
3,BLUEPRINT,04_BLUEPRINT\icons,blueprint_12_pillars_icon_sheet.png,2400x2400,png,TODO,12 pillars icon sheet
3,BLUEPRINT,04_BLUEPRINT\diagrams,blueprint_ecosystem_map.webp,1600x900,webp,TODO,Blueprint ecosystem map
3,BLUEPRINT,04_BLUEPRINT\diagrams,blueprint_systems_relationship_diagram.png,1800x1200,png,TODO,Systems relationship diagram
1,SYSTEMS,05_SYSTEMS\hero,systems_hero.webp,1920x1080,webp,DONE,Systems hero
2,SYSTEMS,05_SYSTEMS\categories,systems_food.webp,1200x800,webp,TODO,Systems food
2,SYSTEMS,05_SYSTEMS\categories,systems_water.webp,1200x800,webp,TODO,Systems water
2,SYSTEMS,05_SYSTEMS\categories,systems_energy.webp,1200x800,webp,TODO,Systems energy
2,SYSTEMS,05_SYSTEMS\categories,systems_housing.webp,1200x800,webp,TODO,Systems housing
2,SYSTEMS,05_SYSTEMS\categories,systems_education.webp,1200x800,webp,TODO,Systems education
2,SYSTEMS,05_SYSTEMS\categories,systems_health.webp,1200x800,webp,TODO,Systems health
2,SYSTEMS,05_SYSTEMS\categories,systems_governance_community.webp,1200x800,webp,DONE,Systems governance and community
1,MICROGROW,06_MICROGROW\hero,microgrow_hero.webp,1920x1080,webp,APPROVED,WA-04A.3 conceptual MicroGrow page hero; not homepage project-card image; not operational proof; not live
2,MICROGROW,06_MICROGROW\product,microgrow_ai_lab_project_card.webp,1600x900,webp,APPROVED,WA-04B.1 conceptual MicroGrow AI Lab homepage project-card visual; not documentary evidence, commercial availability or proven performance; not live
2,SYSTEMS,05_SYSTEMS\projects,field_scanner_project.webp,1600x900,webp,APPROVED,WA-04A.3 conceptual handheld Field Scanner for discovering and inspecting MicroGrow nodes; not operational proof; not live
2,RESOURCES,10_RESOURCES\hero,new_earth_living_app.webp,1600x900,webp,APPROVED,WA-04A.3 conceptual New Earth Living app visual connected to Conscious Living; not a physical place or operational proof; not live
2,HOME,02_HOME\sections,home_introduction_new_earth.webp,1600x1000,webp,APPROVED,WA-04A.3 conceptual New Earth introduction visual; not documentary evidence; not live
2,BLOG,09_BLOG\featured,journal_featured_home.webp,1600x900,webp,APPROVED,WA-04A.3 conceptual Journal editorial visual; no specific publication claim; not live
2,RESOURCES,10_RESOURCES\featured,resources_featured_home.webp,1600x900,webp,APPROVED,WA-04A.3 conceptual resources and practical learning visual; no specific resource claim; not live
2,RESOURCES,10_RESOURCES\featured,faq_glossary_featured.webp,1600x900,webp,APPROVED,WA-04A.3 conceptual FAQ and Glossary discovery visual; text remains primary; not live
2,MICROGROW,06_MICROGROW\product,microgrow_product_closeup.webp,1600x900,webp,TODO,MicroGrow product close-up
2,MICROGROW,06_MICROGROW\product,microgrow_lifestyle_home.webp,1600x900,webp,TODO,MicroGrow lifestyle in home
2,MICROGROW,06_MICROGROW\app,microgrow_app_mockup.png,1600x900,png,TODO,MicroGrow app mockup
3,MICROGROW,06_MICROGROW\diagrams,microgrow_how_it_works.png,1600x900,png,TODO,MicroGrow how it works
3,MICROGROW,06_MICROGROW\icons,microgrow_feature_icons.png,2000x2000,png,TODO,MicroGrow feature icons
3,MICROGROW,06_MICROGROW\evidence,microgrow_current_hardware_prototype.jpeg,5712x4284,jpeg,IN_PROGRESS,Owner-supplied current hardware capture; local preview only; wiring and safety review plus rights and public-build review pending
3,MICROGROW,06_MICROGROW\evidence,microgrow_flutter_dashboard_current.png,1600x1110,png,IN_PROGRESS,Owner-supplied current Flutter dashboard capture; local preview only; privacy derivative plus rights and public-build review pending
3,MICROGROW,06_MICROGROW\evidence,microgrow_diagnostics_current.png,1600x1111,png,IN_PROGRESS,Owner-supplied current diagnostics capture; local preview only; privacy derivative plus rights and public-build review pending
3,MICROGROW,06_MICROGROW\evidence,microgrow_flutter_splash_screen_current.png,641x1390,png,IN_PROGRESS,Owner-supplied current Flutter splash capture; local preview only; capability-language and rights review pending
1,ABOUT,07_ABOUT\hero,about_hero.webp,1920x1080,webp,DONE,About hero
0,ABOUT,07_ABOUT\sections,about_mission_visual.webp,1400x900,webp,TODO,About mission visual
1,CONTACT,08_CONTACT\banners,contact_banner.webp,1600x900,webp,DONE,Contact banner
0,BLOG,09_BLOG\hero,blog_hero.webp,1920x1080,webp,TODO,Blog hero
3,BLOG,09_BLOG\templates,blog_featured_template.png,1200x630,png,TODO,Blog featured template
0,RESOURCES,10_RESOURCES\hero,resources_hero.webp,1920x1080,webp,TODO,Resources hero
3,RESOURCES,10_RESOURCES\covers,resources_pdf_cover_template.png,1600x2400,png,TODO,Resources PDF cover template
1,COMMUNITY,11_COMMUNITY\hero,community_hero.webp,1920x1080,webp,DONE,Community hero
0,COMMUNITY,11_COMMUNITY\cta,community_join_cta.webp,1600x900,webp,TODO,Community join CTA
3,SOCIAL_OG,12_SOCIAL_OG\global,og_homepage.png,1200x630,png,TODO,Homepage Open Graph image
3,SOCIAL_OG,12_SOCIAL_OG\global,og_manifesto.png,1200x630,png,TODO,Manifesto Open Graph image
3,SOCIAL_OG,12_SOCIAL_OG\global,og_blueprint.png,1200x630,png,TODO,Blueprint Open Graph image
3,SOCIAL_OG,12_SOCIAL_OG\global,og_systems.png,1200x630,png,TODO,Systems Open Graph image
3,SOCIAL_OG,12_SOCIAL_OG\global,og_microgrow.png,1200x630,png,TODO,MicroGrow Open Graph image
3,SOCIAL_OG,12_SOCIAL_OG\global,social_quote_card_template.png,1080x1080,png,TODO,Social quote card template
3,PRINT,13_PRINT\posters,print_new_earth_wall_poster_a2.png,4961x7016,png,TODO,New Earth wall poster A2
3,PRINT,13_PRINT\posters,print_blueprint_poster_a2.png,4961x7016,png,TODO,Blueprint poster A2
3,PRINT,13_PRINT\posters,print_microgrow_product_poster_a2.png,4961x7016,png,TODO,MicroGrow product poster A2
2,COMMUNITY,11_COMMUNITY\partners,new_earth_builders_logo.webp,800x800,webp,APPROVED,Screenshot-derived provisional New Earth Builders logo for approved offline external-community card; original transparent PNG or SVG still requested; not live
WB-04C2,NEW_EARTH_IN_PRACTICE,07_NEW_EARTH_IN_PRACTICE\visuals,NEIP-VIS-001_local-capability-pathway.png,1672x941,png,APPROVED,"Generated explanatory graphic; local-preview eligible; public-ready NO; illustrative local-first pathway, not implementation evidence; SHA-256 BE38BD650F584555E4F182680FFF931F8905A038885BA320D3E63F504D9E144"
WB-04C2,NEW_EARTH_IN_PRACTICE,07_NEW_EARTH_IN_PRACTICE\visuals,NEIP-VIS-002_daily-life-cards.png,1536x1024,png,APPROVED,"Generated future-direction illustration; local-preview eligible; public-ready NO; possible expressions, not current deployment; SHA-256 E7E5B75E86A6D30E9856A728020852014CA0EA7B639EAAF7D8FCFEAA6502E396"
WB-04C2,NEW_EARTH_IN_PRACTICE,07_NEW_EARTH_IN_PRACTICE\visuals,NEIP-VIS-003_twelve-pillars-lenses.png,1448x1086,png,APPROVED,"REGENERATED: practical lenses across person, household, neighbourhood, community and region; doctrine-safe for local preview; does not redefine canonical 12 Pillars; public-ready NO; SHA-256 91C89214129BC987810405A97A23AE56E4BD40E9D824EF61F0D7B43B8A815657"
